term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,model_set,outcome,outcome_label,exposure,exposure_label,q_value,estimate_CI
pct_oxidative_10,0.16840762322900327,0.05297725166711572,3.1788667386371423,0.001478520486733052,0.06457220996145646,0.2722430364965501,1313,60,20,full_python_weighted_cluster,msi_core_partial,MSI-core,pct_oxidative_10,%Oxidative per 10 pp,0.00436069621133891,"0.168 (0.065, 0.272)"
ln_oxidative_to_MEHP,0.18278820426886033,0.03906059984375814,4.679605664019769,2.874271996995991e-06,0.10622942857509438,0.2593469799626263,1313,60,20,full_python_weighted_cluster,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),1.5089927984228954e-05,"0.183 (0.106, 0.259)"
ln_Sigma_DEHP,0.06569244125963825,0.03550684761864355,1.8501344294260913,0.06429417672095147,-0.0039009800729031124,0.13528586259217962,1313,60,20,full_python_weighted_cluster,msi_core_partial,MSI-core,ln_Sigma_DEHP,ln(Sigma DEHP),0.07500987284111005,"0.066 (-0.004, 0.135)"
pct_oxidative_10,0.16837940691803688,0.05008172330462661,3.362092911496953,0.0007735409103817409,0.07021922924096873,0.266539584595105,1306,60,20,full_python_weighted_cluster,msi_no_bmi,MSI no BMI,pct_oxidative_10,%Oxidative per 10 pp,0.002707393186336093,"0.168 (0.070, 0.267)"
ln_oxidative_to_MEHP,0.17169208550418474,0.035656716010343134,4.815140167546027,1.4709660202337493e-06,0.1018049221239122,0.24157924888445728,1306,60,20,full_python_weighted_cluster,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),1.5089927984228954e-05,"0.172 (0.102, 0.242)"
ln_Sigma_DEHP,0.07234109047510551,0.035288580608635024,2.049985837554595,0.04036581286006986,0.0031754724821808633,0.14150670846803015,1306,60,20,full_python_weighted_cluster,msi_no_bmi,MSI no BMI,ln_Sigma_DEHP,ln(Sigma DEHP),0.052980129378841695,"0.072 (0.003, 0.142)"
pct_oxidative_10,0.10532871026142988,0.0354521864584485,2.971007454924669,0.0029682457543443543,0.03584242480287082,0.17481499571998893,2741,60,21,full_python_weighted_cluster,msi_pca,MSI PCA,pct_oxidative_10,%Oxidative per 10 pp,0.005940430399230099,"0.105 (0.036, 0.175)"
ln_oxidative_to_MEHP,0.15676725057013993,0.029408323944881697,5.330710137169314,9.782946000155034e-08,0.0991269356381718,0.21440756550210804,2741,60,21,full_python_weighted_cluster,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),2.054418660032557e-06,"0.157 (0.099, 0.214)"
ln_Sigma_DEHP,0.06925409180246433,0.022020809719788727,3.144938477908467,0.0016612176043195846,0.026093304751678432,0.11241487885325024,2741,60,21,full_python_weighted_cluster,msi_pca,MSI PCA,ln_Sigma_DEHP,ln(Sigma DEHP),0.00436069621133891,"0.069 (0.026, 0.112)"
pct_oxidative_10,0.18197343751671013,0.05882213205683844,3.093621926877344,0.0019772928601160663,0.06668205868530679,0.29726481634811347,1292,60,20,full_python_weighted_cluster,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 pp,0.0046136833402708214,"0.182 (0.067, 0.297)"
ln_oxidative_to_MEHP,0.21840988951823537,0.04612530654043594,4.735142287385461,2.189014711134981e-06,0.12800428869898095,0.3088154903374898,1292,60,20,full_python_weighted_cluster,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP),1.5089927984228954e-05,"0.218 (0.128, 0.309)"
ln_Sigma_DEHP,0.08435901998749351,0.03197874295669606,2.63797173333949,0.00834035336132973,0.021680683792369232,0.1470373561826178,1292,60,20,full_python_weighted_cluster,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),0.012510530041994594,"0.084 (0.022, 0.147)"
pct_oxidative_10,0.10964079388411854,0.04007217743940481,2.7360827609109086,0.0062175386687153816,0.031099326102885114,0.18818226166535196,2671,60,21,full_python_weighted_cluster,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 pp,0.010056755219307175,"0.110 (0.031, 0.188)"
ln_oxidative_to_MEHP,0.13456944257848646,0.02962350262970334,4.54265804623503,5.554932059817784e-06,0.07650737742426791,0.19263150773270502,2671,60,21,full_python_weighted_cluster,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),2.3330714651234693e-05,"0.135 (0.077, 0.193)"
ln_Sigma_DEHP,0.08362348794651085,0.02828474789307879,2.956486947050828,0.0031116540186443375,0.028185382076076425,0.13906159381694527,2671,60,21,full_python_weighted_cluster,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),0.005940430399230099,"0.084 (0.028, 0.139)"
pct_oxidative_10,0.10815567400192094,0.05488995873264911,1.9704090966566685,0.048791503872776996,0.0005713548859286877,0.2157399931179132,1279,60,20,full_python_weighted_cluster,TyG,TyG,pct_oxidative_10,%Oxidative per 10 pp,0.06027185772519511,"0.108 (0.001, 0.216)"
ln_oxidative_to_MEHP,0.11253388284467292,0.04113597991252931,2.735655819648945,0.006225610373856823,0.03190736221611547,0.19316040347323038,1279,60,20,full_python_weighted_cluster,TyG,TyG,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),0.010056755219307175,"0.113 (0.032, 0.193)"
ln_Sigma_DEHP,-0.005083912545892133,0.03659019483926415,-0.13894193699227575,0.8894960314177877,-0.07680069443084987,0.0666328693390656,1279,60,20,full_python_weighted_cluster,TyG,TyG,ln_Sigma_DEHP,ln(Sigma DEHP),0.8894960314177877,"-0.005 (-0.077, 0.067)"
pct_oxidative_10,0.09767340492437526,0.05976110924731216,1.6343974560473586,0.10217542207183089,-0.019458369200356568,0.2148051790491071,1279,60,20,full_python_weighted_cluster,ln_TG_HDL,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 pp,0.1129307296583394,"0.098 (-0.019, 0.215)"
