quartile,variable,statistic,value
Q1,Unweighted n,n,1252.0
Q1,Weighted n proxy,sum_weight,56663924.075554326
Q1,Age,weighted_mean,44.549076445705666
Q1,BMI,weighted_mean,27.82906270952302
Q1,HbA1c,weighted_mean,5.554661825242992
Q1,ln(HOMA-IR),weighted_mean,0.6973869430418974
Q1,MSI-core,weighted_mean,-0.25898756890871016
Q1,%Oxidative/10,weighted_mean,8.340183816509333
Q1,Female,weighted_percent,53.05834571557462
Q1,Ever smoker,weighted_percent,40.227552209777556
Q1,Diabetes history,weighted_percent,6.805348706805522
Q2,Unweighted n,n,1231.0
Q2,Weighted n proxy,sum_weight,56651405.678218335
Q2,Age,weighted_mean,46.13642577579455
Q2,BMI,weighted_mean,28.80520438264182
Q2,HbA1c,weighted_mean,5.5740880043248255
Q2,ln(HOMA-IR),weighted_mean,0.8273853324417021
Q2,MSI-core,weighted_mean,-0.1578236004797435
Q2,%Oxidative/10,weighted_mean,9.138711924174675
Q2,Female,weighted_percent,49.44914419320021
Q2,Ever smoker,weighted_percent,42.11243859922577
Q2,Diabetes history,weighted_percent,7.576393631779317
Q3,Unweighted n,n,1332.0
Q3,Weighted n proxy,sum_weight,56660920.41821233
Q3,Age,weighted_mean,49.28891543030308
Q3,BMI,weighted_mean,29.705418681345016
Q3,HbA1c,weighted_mean,5.725795220615692
Q3,ln(HOMA-IR),weighted_mean,0.9260955346500731
Q3,MSI-core,weighted_mean,-0.041689528836151506
Q3,%Oxidative/10,weighted_mean,9.435376780451632
Q3,Female,weighted_percent,50.57633958413579
Q3,Ever smoker,weighted_percent,40.39672817448293
Q3,Diabetes history,weighted_percent,13.066993557723539
Q4,Unweighted n,n,1332.0
Q4,Weighted n proxy,sum_weight,56680428.950419664
Q4,Age,weighted_mean,51.760628688058524
Q4,BMI,weighted_mean,31.25695486367447
Q4,HbA1c,weighted_mean,5.810231291586076
Q4,ln(HOMA-IR),weighted_mean,1.123078293949553
Q4,MSI-core,weighted_mean,0.1089901137175824
Q4,%Oxidative/10,weighted_mean,9.691632669495894
Q4,Female,weighted_percent,50.68795196938598
Q4,Ever smoker,weighted_percent,45.01494592268505
Q4,Diabetes history,weighted_percent,14.510351618262476
,Unweighted n,n,120.0
,Weighted n proxy,sum_weight,4632727.542022
,Age,weighted_mean,58.807269908933314
,BMI,weighted_mean,28.470324415301125
,HbA1c,weighted_mean,5.783245681727096
,ln(HOMA-IR),weighted_mean,0.9765354485166293
,MSI-core,weighted_mean,-0.02113826563841646
,%Oxidative/10,weighted_mean,
,Female,weighted_percent,68.3620805655607
,Ever smoker,weighted_percent,56.82359837219552
,Diabetes history,weighted_percent,25.991369945463873
