left_out_subject,outcome,term,estimate,se,p_value,n,n_clusters
1,iauc_2h_per1000,carbs_10g,0.18029764327260667,0.019721187002898516,6.111974742496329e-20,1456,39
1,iauc_2h_per1000,msi_centered,1.034888227522171,0.28675210914651744,0.00030738016499145485,1456,39
1,iauc_2h_per1000,load_x_msi,0.03841815895269156,0.028142779282773776,0.17221658650502544,1456,39
1,peak_delta_2h,carbs_10g,2.487249995272143,0.2949399592294492,3.367065852121637e-17,1456,39
1,peak_delta_2h,msi_centered,16.941595038192435,4.197209621605776,5.427885043606071e-05,1456,39
1,peak_delta_2h,load_x_msi,0.4521487163601914,0.411716885716795,0.2721158593910514,1456,39
2,iauc_2h_per1000,carbs_10g,0.18442361395614665,0.019412717255789698,2.0959977898248766e-21,1462,39
2,iauc_2h_per1000,msi_centered,1.1338985871864022,0.2546664486434685,8.488210236851148e-06,1462,39
2,iauc_2h_per1000,load_x_msi,0.038183047065517894,0.027453568010684288,0.16427918141824707,1462,39
2,peak_delta_2h,carbs_10g,2.5530967923108063,0.28737103215990456,6.431174934548135e-19,1462,39
2,peak_delta_2h,msi_centered,18.260136277479873,3.7327400442736582,9.987462859173866e-07,1462,39
2,peak_delta_2h,load_x_msi,0.42572295959888085,0.39136203245806134,0.2766841534111485,1462,39
3,iauc_2h_per1000,carbs_10g,0.17496999831618743,0.019243183278160478,9.672481119811051e-20,1463,39
3,iauc_2h_per1000,msi_centered,1.0694522723657731,0.27332783314183406,9.126649017887251e-05,1463,39
3,iauc_2h_per1000,load_x_msi,0.04022789552584316,0.026942915072731735,0.13541655904947666,1463,39
3,peak_delta_2h,carbs_10g,2.425417689101729,0.29053051401892876,6.928922504913014e-17,1463,39
3,peak_delta_2h,msi_centered,17.345388869524864,3.9750485523639956,1.2795899440163013e-05,1463,39
3,peak_delta_2h,load_x_msi,0.47190936661045213,0.38855507273313916,0.22454778363786426,1463,39
