outcome,outcome_label,load_variable,load_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value,estimate_CI
iauc_2h_per1000,2h iAUC / 1000,carbs_10g,Carbohydrate per 10 g,Intercept,2.508381715910235,0.31892400564585177,7.8651392541948075,3.6868708612440326e-15,1.8832906648443655,3.1334727669761047,1498,40,7,2.9495791418708046e-14,"2.508 (1.883, 3.133)"
iauc_2h_per1000,2h iAUC / 1000,carbs_10g,Carbohydrate per 10 g,carbs_10g,0.17998392360071847,0.019753898639598182,9.111311487643613,8.139203597170625e-20,0.14126628226710602,0.2187015649343309,1498,40,7,8.995961870557007e-19,"0.180 (0.141, 0.219)"
iauc_2h_per1000,2h iAUC / 1000,carbs_10g,Carbohydrate per 10 g,msi_centered,1.0698402619532952,0.2700864088930977,3.961103656929091,7.46041351566415e-05,0.5404709005228236,1.5992096233837667,1498,40,7,0.00016846095035370662,"1.070 (0.540, 1.599)"
iauc_2h_per1000,2h iAUC / 1000,carbs_10g,Carbohydrate per 10 g,load_x_msi,0.041531361575497104,0.026937780713242612,1.5417514166295179,0.12313401216984478,-0.011266688622458415,0.09432941177345262,1498,40,7,0.16161339097292127,"0.042 (-0.011, 0.094)"
iauc_2h_per1000,2h iAUC / 1000,carbs_10g,Carbohydrate per 10 g,baseline_glucose_z,-0.38897615306333777,0.1242188388084797,-3.131378112969324,0.0017398799170527323,-0.6324450771279579,-0.14550722899871757,1498,40,7,0.0030447898548422816,"-0.389 (-0.632, -0.146)"
iauc_2h_per1000,2h iAUC / 1000,carbs_10g,Carbohydrate per 10 g,meal_hour_sin,1.0251811897803966,0.3078811460870457,3.3297952888955153,0.0008690985533208744,0.4217341434497871,1.6286282361110063,1498,40,7,0.0015599204803195181,"1.025 (0.422, 1.629)"
iauc_2h_per1000,2h iAUC / 1000,carbs_10g,Carbohydrate per 10 g,meal_hour_cos,0.40930733471595726,0.2080838936375633,1.9670303528099164,0.04917971161500192,0.0014629031863331865,0.8171517662455814,1498,40,7,0.07073794136404385,"0.409 (0.001, 0.817)"
peak_delta_2h,2h peak delta,carbs_10g,Carbohydrate per 10 g,Intercept,44.7901067626168,4.251591417253389,10.53490384350058,5.964420118871721e-26,36.45698758480016,53.12322594043344,1498,40,7,1.0437735208025511e-24,"44.790 (36.457, 53.123)"
peak_delta_2h,2h peak delta,carbs_10g,Carbohydrate per 10 g,carbs_10g,2.48417511008564,0.29403938203647456,8.448443514200717,2.952120261465597e-17,1.9078579212941502,3.06049229887713,1498,40,7,2.5831052287823973e-16,"2.484 (1.908, 3.060)"
peak_delta_2h,2h peak delta,carbs_10g,Carbohydrate per 10 g,msi_centered,17.356234915913927,3.9352867743845272,4.410411721170794,1.0317426151563253e-05,9.643072838120254,25.0693969937076,1498,40,7,2.9279182322003824e-05,"17.356 (9.643, 25.069)"
