outcome,term,B_success,boot_mean,boot_ci_low,boot_ci_high,positive_probability
iauc_2h_per1000,carbs_10g,500,0.18038930235812073,0.14244081382491292,0.2232960353497366,1.0
iauc_2h_per1000,msi_centered,500,1.0890298182686589,0.5867253780300316,1.6672305413136352,0.998
iauc_2h_per1000,load_x_msi,500,0.0433964251892049,-0.011823865079190431,0.10068200644345632,0.934
peak_delta_2h,carbs_10g,500,2.471053174470974,1.8915603903303113,3.0291354072071166,1.0
peak_delta_2h,msi_centered,500,17.750193275558495,9.83079716961726,26.144710802356204,1.0
peak_delta_2h,load_x_msi,500,0.4917320069833451,-0.25958093681257316,1.283854760431784,0.908
high_iauc_population,carbs_10g,500,0.020602830289495402,0.01315690452835746,0.02787919383658763,1.0
high_iauc_population,msi_centered,500,0.13237198972868947,0.06560237668130846,0.2037124354352486,0.998
high_iauc_population,load_x_msi,500,0.003716946043228932,-0.005461164143947491,0.012769930242820176,0.776
high_peak_population,carbs_10g,500,0.017791908788458297,0.011208817035402656,0.024983782064748224,1.0
high_peak_population,msi_centered,500,0.13272765694286284,0.05653713542631911,0.20940057457112715,1.0
high_peak_population,load_x_msi,500,0.0067596501681053784,-0.00185125507454034,0.01584608669376868,0.93
