outcome,outcome_label,outcome_scale,exposure,exposure_label,n,n_clusters,n_parameters,beta,se,z,p_value,effect,effect_low,effect_high,effect_unit,effect_CI,q_value,direction,fdr_significant
msi_core_partial_nhanes_ref,MSI-core,z,ln_Sigma_DEHP,ln(Sigma DEHP),1313,60,20,0.06569244125963791,0.035506847618643755,1.850134429426071,0.06429417672095437,0.06569244125963791,-0.003900980072903848,0.13528586259217967,absolute difference,"0.066 (-0.004, 0.135)",0.08036772090119297,positive,False
msi_core_partial_nhanes_ref,MSI-core,z,pct_oxidative_10,%Oxidative per 10 pp,1313,60,20,0.1684076232290277,0.05297725166712201,3.178866738637226,0.001478520486732626,0.1684076232290277,0.06457220996146855,0.2722430364965868,absolute difference,"0.168 (0.065, 0.272)",0.005544451825247348,positive,True
msi_core_partial_nhanes_ref,MSI-core,z,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),1313,60,20,0.18278820426886228,0.03906059984375834,4.679605664019795,2.8742719969956307e-06,0.18278820426886228,0.10622942857509593,0.2593469799626286,absolute difference,"0.183 (0.106, 0.259)",2.155703997746723e-05,positive,True
ln_HOMA_IR,ln(HOMA-IR),percent,ln_Sigma_DEHP,ln(Sigma DEHP),1292,60,20,0.08435901998748996,0.031978742956695824,2.6379717333393984,0.008340353361331976,8.80194444242186,2.1917417571797104,15.839723552027207,% difference,"8.802 (2.192, 15.840)",0.013900588935553293,positive,True
ln_HOMA_IR,ln(HOMA-IR),percent,pct_oxidative_10,%Oxidative per 10 pp,1292,60,20,0.1819734375169233,0.05882213205692815,3.09362192687625,0.001977292860123352,19.958232957134435,6.895555900455119,34.61717405350866,% difference,"19.958 (6.896, 34.617)",0.0059318785803700565,positive,True
ln_HOMA_IR,ln(HOMA-IR),percent,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),1292,60,20,0.21840988951823093,0.04612530654043698,4.7351422873852576,2.1890147111371764e-06,24.409690540453056,13.65578770412097,36.18110800185934,% difference,"24.410 (13.656, 36.181)",2.155703997746723e-05,positive,True
HbA1c,HbA1c,absolute,ln_Sigma_DEHP,ln(Sigma DEHP),2671,60,21,0.08362348794654029,0.02828474789307901,2.956486947051846,0.003111654018634065,0.08362348794654029,0.02818538207610543,0.13906159381697514,absolute difference,"0.084 (0.028, 0.139)",0.007779135046585162,positive,True
HbA1c,HbA1c,absolute,pct_oxidative_10,%Oxidative per 10 pp,2671,60,21,0.10964079388434764,0.04007217743946172,2.73608276091274,0.006217538668680772,0.10964079388434764,0.031099326103002672,0.1881822616656926,absolute difference,"0.110 (0.031, 0.188)",0.011673019450971798,positive,True
HbA1c,HbA1c,absolute,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),2671,60,21,0.1345694425784732,0.02962350262970052,4.542658046235015,5.554932059818182e-06,0.1345694425784732,0.07650737742426017,0.19263150773268622,absolute difference,"0.135 (0.077, 0.193)",2.777466029909091e-05,positive,True
TyG,TyG index,absolute,ln_Sigma_DEHP,ln(Sigma DEHP),1279,60,20,-0.005083912545885028,0.03659019483926561,-0.13894193699207602,0.8894960314179454,-0.005083912545885028,-0.07680069443084561,0.06663286933907556,absolute difference,"-0.005 (-0.077, 0.067)",0.8894960314179454,negative,False
TyG,TyG index,absolute,pct_oxidative_10,%Oxidative per 10 pp,1279,60,20,0.1081556740005567,0.054889958732584176,1.9704090966341452,0.04879150387535625,0.1081556740005567,0.0005713548846917188,0.21573999311642167,absolute difference,"0.108 (0.001, 0.216)",0.06653386892094035,positive,False
TyG,TyG index,absolute,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),1279,60,20,0.11253388284468713,0.041135979912530374,2.73565581964922,0.006225610373851625,0.11253388284468713,0.0319073622161276,0.19316040347324664,absolute difference,"0.113 (0.032, 0.193)",0.011673019450971798,positive,True
ln_TG_HDL,ln(TG/HDL-C),percent,ln_Sigma_DEHP,ln(Sigma DEHP),1279,60,20,-0.013154051545168688,0.04277059512146699,-0.3075489482391265,0.7584255717439687,-1.3067915103844752,-9.242985220365519,7.323377984887336,% difference,"-1.307 (-9.243, 7.323)",0.8125988268685379,negative,False
ln_TG_HDL,ln(TG/HDL-C),percent,pct_oxidative_10,%Oxidative per 10 pp,1279,60,20,0.09767340492433974,0.05976110924737654,1.6343974560450032,0.10217542207232515,10.260262171125213,-1.927027709874496,23.962036942050837,% difference,"10.260 (-1.927, 23.962)",0.11789471777575979,positive,False
ln_TG_HDL,ln(TG/HDL-C),percent,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),1279,60,20,0.10688806823337593,0.04664817826601716,2.2913663985725905,0.021942231271350414,11.280968875364628,1.5577726088396915,21.935069229373806,% difference,"11.281 (1.558, 21.935)",0.03291334690702562,positive,True
