outcome,outcome_label,model,term,estimate,se,z,p_value,ci_low,ci_high,n,n_subjects,unit,q_value,estimate_CI
iauc_2h_per1000,2h iAUC,base_interaction,carbs_10g,0.1799839236007174,0.01975389863959796,9.111311487643663,8.139203597166858e-20,0.14126628226710541,0.2187015649343294,1498,40,1000 mg/dL*min,1.9534088633200457e-18,"0.180 (0.141, 0.219)"
iauc_2h_per1000,2h iAUC,base_interaction,msi_core_centered,1.0698402619532945,0.27008640889309943,3.9611036569290636,7.460413515665013e-05,0.5404709005228197,1.5992096233837694,1498,40,1000 mg/dL*min,0.0001989443604177337,"1.070 (0.540, 1.599)"
iauc_2h_per1000,2h iAUC,base_interaction,carbs_x_msi,0.04153136157549753,0.026937780713242578,1.5417514166295356,0.12313401216984049,-0.011266688622457922,0.09432941177345297,1498,40,1000 mg/dL*min,0.16119361593142756,"0.042 (-0.011, 0.094)"
iauc_2h_per1000,2h iAUC,base_interaction,baseline_glucose_z,-0.38897615306333766,0.12421883880847998,-3.131378112969316,0.0017398799170527807,-0.6324450771279584,-0.1455072289987169,1498,40,1000 mg/dL*min,0.0032966145796789526,"-0.389 (-0.632, -0.146)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,carbs_10g,0.23644472458261728,0.028465120257489058,8.30647200657477,9.858947419625753e-17,0.18065308887793874,0.2922363602872958,1480,39,1000 mg/dL*min,1.1830736903550904e-15,"0.236 (0.181, 0.292)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,msi_core_centered,1.169631167218142,0.2921257737097005,4.003861598259594,6.231683080253255e-05,0.5970646507471291,1.742197683689155,1480,39,1000 mg/dL*min,0.00017947247271129377,"1.170 (0.597, 1.742)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,carbs_x_msi,0.04114346536423546,0.02696275927273324,1.5259367540266107,0.12702561622751465,-0.011703542810321696,0.09399047353879261,1480,39,1000 mg/dL*min,0.163318649435376,"0.041 (-0.012, 0.094)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,baseline_glucose_z,-0.42826478952852987,0.12652843436792754,-3.3847315954546144,0.0007124788594315547,-0.6762605208896678,-0.1802690581673919,1480,39,1000 mg/dL*min,0.0015087787611491746,"-0.428 (-0.676, -0.180)"
peak_delta_2h,2h peak delta,base_interaction,carbs_10g,2.48417511008562,0.29403938203647356,8.448443514200678,2.952120261466582e-17,1.907857921294132,3.0604922988771084,1498,40,mg/dL,5.313816470639848e-16,"2.484 (1.908, 3.060)"
peak_delta_2h,2h peak delta,base_interaction,msi_core_centered,17.35623491591392,3.935286774384564,4.410411721170751,1.0317426151565287e-05,9.643072838120174,25.069396993707663,1498,40,mg/dL,3.5374032519652414e-05,"17.356 (9.643, 25.069)"
