outcome,outcome_label,model,term,estimate,se,z,p_value,ci_low,ci_high,n,n_subjects,unit,q_value,estimate_CI
iauc_2h_per1000,2h iAUC,base_interaction,Intercept,2.5083817159102466,0.31892400564585266,7.865139254194822,3.686870861243626e-15,1.8832906648443755,3.1334727669761175,1498,40,1000 mg/dL*min,3.318183775119264e-14,"2.508 (1.883, 3.133)"
iauc_2h_per1000,2h iAUC,base_interaction,carbs_10g,0.1799839236007174,0.01975389863959796,9.111311487643663,8.139203597166858e-20,0.14126628226710541,0.2187015649343294,1498,40,1000 mg/dL*min,1.9534088633200457e-18,"0.180 (0.141, 0.219)"
iauc_2h_per1000,2h iAUC,base_interaction,msi_core_centered,1.0698402619532945,0.27008640889309943,3.9611036569290636,7.460413515665013e-05,0.5404709005228197,1.5992096233837694,1498,40,1000 mg/dL*min,0.0001989443604177337,"1.070 (0.540, 1.599)"
iauc_2h_per1000,2h iAUC,base_interaction,carbs_x_msi,0.04153136157549753,0.026937780713242578,1.5417514166295356,0.12313401216984049,-0.011266688622457922,0.09432941177345297,1498,40,1000 mg/dL*min,0.16119361593142756,"0.042 (-0.011, 0.094)"
iauc_2h_per1000,2h iAUC,base_interaction,baseline_glucose_z,-0.38897615306333766,0.12421883880847998,-3.131378112969316,0.0017398799170527807,-0.6324450771279584,-0.1455072289987169,1498,40,1000 mg/dL*min,0.0032966145796789526,"-0.389 (-0.632, -0.146)"
iauc_2h_per1000,2h iAUC,base_interaction,meal_hour_sin,1.0251811897803984,0.3078811460870459,3.3297952888955185,0.0008690985533208644,0.42173414344978843,1.6286282361110085,1498,40,1000 mg/dL*min,0.0017878598811172065,"1.025 (0.422, 1.629)"
iauc_2h_per1000,2h iAUC,base_interaction,meal_hour_cos,0.4093073347159617,0.20808389363756372,1.9670303528099338,0.04917971161499993,0.0014629031863368502,0.8171517662455865,1498,40,1000 mg/dL*min,0.0722640660465305,"0.409 (0.001, 0.817)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,Intercept,2.7367872645267606,0.3264975782882721,8.382259001352804,5.192142688451339e-17,2.0968520110817472,3.376722517971774,1480,39,1000 mg/dL*min,7.476685471369929e-16,"2.737 (2.097, 3.377)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,carbs_10g,0.23644472458261728,0.028465120257489058,8.30647200657477,9.858947419625753e-17,0.18065308887793874,0.2922363602872958,1480,39,1000 mg/dL*min,1.1830736903550904e-15,"0.236 (0.181, 0.292)"
iauc_2h_per1000,2h iAUC,macro_context_interaction,protein_10g,-0.1457126975788472,0.029027131695635762,-5.019879301431465,5.170395656698155e-07,-0.20260587570229327,-0.0888195194554011,1480,39,1000 mg/dL*min,2.1898146310721596e-06,"-0.146 (-0.203, -0.089)"
