priority,outcome,outcome_label,exposure,exposure_label,modifier,modifier_label,level,n,beta,se,p_value,effect,effect_low,effect_high,result,p_interaction,q_interaction,p_interaction_fmt,q_interaction_fmt,interaction_interpretation,effect_CI,p_value_fmt
Primary,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,sex_group,Sex,Male,972,0.10190904579915191,0.04058644063181314,0.017868560311134728,10.72827551295983,1.908019856758214,20.311934382668163,Nominal positive,0.6047406924244029,0.86790107283989,0.605,0.868,No clear interaction,"10.728 (1.908, 20.312)",0.018
Primary,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,sex_group,Sex,Female,1011,0.11026953178002041,0.042186283615714304,0.014048046913400752,11.65789834251818,2.4278942224181144,21.719638550759157,Nominal positive,0.6047406924244029,0.86790107283989,0.605,0.868,No clear interaction,"11.658 (2.428, 21.720)",0.014
Primary,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,age_group,Age group,20-39,611,0.10069530075463547,0.03809565263050123,0.013298094973829095,10.593961145456166,2.2918579463683253,19.5698708322944,Nominal positive,0.9662032598564615,0.9662032598564615,0.966,0.966,No clear interaction,"10.594 (2.292, 19.570)",0.013
Primary,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,age_group,Age group,40-59,689,0.105924904264798,0.052843703928474796,0.05477464428826008,11.173838656020951,-0.23178259447206306,23.883364090558178,Positive direction,0.9662032598564615,0.9662032598564615,0.966,0.966,No clear interaction,"11.174 (-0.232, 23.883)",0.055
Primary,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,age_group,Age group,>=60,683,0.1029026962399835,0.08030062979510307,0.21054039138501165,10.838355394139821,-5.972762713504453,30.65513122591843,Positive direction,0.9662032598564615,0.9662032598564615,0.966,0.966,No clear interaction,"10.838 (-5.973, 30.655)",0.211
Primary,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,obesity_status,Obesity status,Non-obese,1167,0.09180462813399434,0.023814403834146496,6.190372440319827e-4,9.615064416255503,4.3961940402256205,15.094831353239613,Nominal positive,0.7232508940332417,0.86790107283989,0.723,0.868,No clear interaction,"9.615 (4.396, 15.095)",<0.001
Primary,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,obesity_status,Obesity status,Obese,800,0.07448952689994948,0.046977923950414995,0.12446758899654356,7.733406043576774,-2.16631208616489,18.63486928932239,Positive direction,0.7232508940332417,0.86790107283989,0.723,0.868,No clear interaction,"7.733 (-2.166, 18.635)",0.124
Exploratory,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,race_group,Race/ethnicity,Non-Hispanic White,783,0.1406949155362067,0.04338161348959788,0.002896666896522259,15.107341979327193,5.347881109846542,25.770922376030292,Nominal positive,0.12159300412105094,0.24318600824210188,0.122,0.243,No clear interaction,"15.107 (5.348, 25.771)",0.003
Exploratory,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,race_group,Race/ethnicity,Mexican American,264,0.09963416788666364,0.05194929535680857,0.08409866953857642,10.47666850083171,-1.5986906318132377,24.033860539142182,Positive direction,0.12159300412105094,0.24318600824210188,0.122,0.243,No clear interaction,"10.477 (-1.599, 24.034)",0.084
Exploratory,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,race_group,Race/ethnicity,Other Hispanic,204,0.16870422352368433,0.1292421181170866,0.2184218968591159,18.376995583225742,-10.930726092698462,57.32825101836052,Positive direction,0.12159300412105094,0.24318600824210188,0.122,0.243,No clear interaction,"18.377 (-10.931, 57.328)",0.218
