outcome,exposure,n,events,beta,se,p_value,OR,OR_low,OR_high,outcome_label,pollutant,label,group,q_value,OR_CI,p_value_fmt,q_value_fmt
obesity,ln_URXBPH,4213,1716,0.011535188242760227,0.0429147953368595,0.7902105518616628,1.0116019750791927,0.926188559657515,1.1048922439319837,Obesity,URXBPH,BPA,Bisphenols,0.7902105518616628,"1.012 (0.926, 1.105)",0.790,0.790
obesity,ln_URXBPF,4210,1715,0.07157264598870974,0.03885065102362617,0.07687183175434356,1.0741961839107281,0.991748223466827,1.1634983700749402,Obesity,URXBPF,BPF,Bisphenols,0.1880740776835959,"1.074 (0.992, 1.163)",0.077,0.188
obesity,ln_URXBPS,4207,1712,0.013409529339218632,0.04317194702825931,0.7585754430867739,1.0134998403021092,0.9274358245994817,1.1075504083918635,Obesity,URXBPS,BPS,Bisphenols,0.7902105518616628,"1.013 (0.927, 1.108)",0.759,0.790
obesity,ln_URXMEP,4215,1716,-0.013873979293000528,0.042131370080607,0.7445649377510755,0.9862218208031046,0.904406591105161,1.0754382922393992,Obesity,URXMEP,MEP,Phthalates,0.7902105518616628,"0.986 (0.904, 1.075)",0.745,0.790
obesity,ln_URXMBP,4215,1716,0.035378538050582414,0.051805441608369474,0.5007030050322028,1.0360118044722209,0.931360301016901,1.152422384585093,Obesity,URXMBP,MBP,Phthalates,0.7009842070450838,"1.036 (0.931, 1.152)",0.501,0.701
obesity,ln_URXMIB,4215,1716,0.09840325375112972,0.05412686232347486,0.08060317615011253,1.1034076486793827,0.987226181537663,1.2332619028273974,Obesity,URXMIB,MiBP,Phthalates,0.1880740776835959,"1.103 (0.987, 1.233)",0.081,0.188
obesity,ln_URXMHP,4215,1716,-0.16603790958407144,0.05459155881198153,0.0053206757412585706,0.8470141236276251,0.7571056540812927,0.9475994819973184,Obesity,URXMHP,MEHP,Phthalates,0.07448946037761998,"0.847 (0.757, 0.948)",0.005,0.074
obesity,ln_URXMHH,4215,1716,0.0609985581222393,0.05525157079629368,0.279699867966587,1.0628973816179939,0.9487853682485314,1.1907338389249407,Obesity,URXMHH,MEHHP,Phthalates,0.4894747689415273,"1.063 (0.949, 1.191)",0.280,0.489
obesity,ln_URXMOH,4215,1716,0.046232365298997075,0.05795761139306684,0.43227425690746646,1.0473177429853764,0.9296926687935112,1.1798247868249063,Obesity,URXMOH,MEOHP,Phthalates,0.672426621856059,"1.047 (0.930, 1.180)",0.432,0.672
obesity,ln_URXECP,4215,1716,0.10544489838588908,0.06905956577029915,0.13886828649140376,1.1112048736537614,0.9641493470216008,1.2806898381939245,Obesity,URXECP,MECPP,Phthalates,0.2777365729828075,"1.111 (0.964, 1.281)",0.139,0.278
obesity,ln_URXMZP,4215,1716,0.09853153475111188,0.049394883206710184,0.05664955463000717,1.1035492039951778,0.9970033970058134,1.2214811396788947,Obesity,URXMZP,MBzP,Phthalates,0.1880740776835959,"1.104 (0.997, 1.221)",0.057,0.188
obesity,ln_URXCOP,4215,1716,0.10197798055823562,0.041077126244537736,0.019821804373929885,1.1073590880305255,1.0176975158909498,1.2049200579705395,Obesity,URXCOP,MCOP,Plasticizers,0.1387526306175092,"1.107 (1.018, 1.205)",0.020,0.139
obesity,ln_URXCNP,4215,1716,0.10436863823830102,0.051443375955122585,0.052834495941132965,1.1100095714758715,0.9986262090552975,1.2338162543657225,Obesity,URXCNP,MCNP,Plasticizers,0.1880740776835959,"1.110 (0.999, 1.234)",0.053,0.188
obesity,ln_URXMNP,4215,1716,0.02148069188019373,0.06607425550746492,0.7477075438565716,1.0217130627887077,0.8919574177841075,1.1703446396201735,Obesity,URXMNP,MNP,Plasticizers,0.7902105518616628,"1.022 (0.892, 1.170)",0.748,0.790
obesity,ln_URXMONP,1342,563,NA,NA,NA,NA,NA,NA,Obesity,URXMONP,MONP,Plasticizers,NA,"NA (NA, NA)",NA,NA
central_obesity,ln_URXBPH,4119,2419,0.03797138043476829,0.047708859143464434,0.4332983632815749,1.0387015052676178,0.9416745202474567,1.14572582548129,Central obesity,URXBPH,BPA,Bisphenols,0.6740196762157832,"1.039 (0.942, 1.146)",0.433,0.674
central_obesity,ln_URXBPF,4116,2419,0.06707337420331656,0.040645841513704845,0.1109345725224071,1.0693739397569142,0.9836596267083435,1.1625572423440447,Central obesity,URXBPF,BPF,Bisphenols,0.39685090190113886,"1.069 (0.984, 1.163)",0.111,0.397
central_obesity,ln_URXBPS,4115,2416,0.01620010293051425,0.03894667230147179,0.680855582602572,1.0163320360786785,0.9381401490324267,1.1010410423487045,Central obesity,URXBPS,BPS,Bisphenols,0.8197237394375725,"1.016 (0.938, 1.101)",0.681,0.820
central_obesity,ln_URXMEP,4121,2420,-4.440246206126915e-4,0.036137602199392535,0.9902903952391735,0.99955607394373025,0.9279977880334427,1.0766322483107023,Central obesity,URXMEP,MEP,Phthalates,0.9902903952391735,"1.000 (0.928, 1.077)",0.990,0.990
central_obesity,ln_URXMBP,4121,2420,-0.028264856424705342,0.07322063944127181,0.7026203480893478,0.9721308575979797,0.8362965229078004,1.1300279008793288,Central obesity,URXMBP,MBP,Phthalates,0.8197237394375725,"0.972 (0.836, 1.130)",0.703,0.820
central_obesity,ln_URXMIB,4121,2420,0.0056250527919279964,0.056592776293754386,0.92158687244169335,1.0056409031070674,0.8952045271184212,1.129701197174819,Central obesity,URXMIB,MiBP,Phthalates,0.9902903952391735,"1.006 (0.895, 1.130)",0.922,0.990
central_obesity,ln_URXMHP,4121,2420,-0.07605865264544492,0.062084060261846194,0.23152391300699077,0.9267618479311805,0.8157280381231466,1.0529091592302904,Central obesity,URXMHP,MEHP,Phthalates,0.48719424703097036,"0.927 (0.816, 1.053)",0.232,0.487
central_obesity,ln_URXMHH,4121,2420,0.09659101473892157,0.06373912974881252,0.14173246496469247,1.101409821109382,0.966159211770064,1.2555938806542235,Central obesity,URXMHH,MEHHP,Phthalates,0.39685090190113886,"1.101 (0.966, 1.256)",0.142,0.397
central_obesity,ln_URXMOH,4121,2420,0.09969250694716732,0.0648728586878268,0.13643939519610374,1.1048311379388396,0.9669044841426337,1.262432704965267,Central obesity,URXMOH,MEOHP,Phthalates,0.39685090190113886,"1.105 (0.967, 1.262)",0.136,0.397
central_obesity,ln_URXECP,4121,2420,0.16995907120402,0.0711683782600645,0.024487732547635005,1.1852563392127096,1.0239527414145622,1.371970143566564,Central obesity,URXECP,MECPP,Phthalates,0.34282825566689007,"1.185 (1.024, 1.372)",0.024,0.343
central_obesity,ln_URXMZP,4121,2420,0.0179443738447991,0.04589856440559322,0.6990142359525996,1.0181063414732552,0.9264441863326767,1.118837527224598,Central obesity,URXMZP,MBzP,Phthalates,0.8197237394375725,"1.018 (0.926, 1.119)",0.699,0.820
central_obesity,ln_URXCOP,4121,2420,0.08870857102505518,0.04992599652617502,0.08730432856228434,1.0927621473647493,0.9861805923706621,1.2108625133685427,Central obesity,URXCOP,MCOP,Plasticizers,0.39685090190113886,"1.093 (0.986, 1.211)",0.087,0.397
central_obesity,ln_URXCNP,4121,2420,0.07877578603613339,0.06602509416958133,0.24359712351548518,1.0819617039497513,0.9446500488801609,1.2392325922192993,Central obesity,URXCNP,MCNP,Plasticizers,0.48719424703097036,"1.082 (0.945, 1.239)",0.244,0.487
central_obesity,ln_URXMNP,4121,2420,0.058854794473901545,0.05689127537618309,0.3104230848474822,1.0606212214957484,0.9435679507785368,1.1921954052794665,Central obesity,URXMNP,MNP,Plasticizers,0.5432403984830939,"1.061 (0.944, 1.192)",0.310,0.543
central_obesity,ln_URXMONP,1313,764,NA,NA,NA,NA,NA,NA,Central obesity,URXMONP,MONP,Plasticizers,NA,"NA (NA, NA)",NA,NA
metabolic_syndrome,ln_URXBPH,1007,623,-0.04134144751911622,0.13831524869860237,0.7672289410519366,0.9595014546177506,0.7227677128776351,1.2737744437256628,Metabolic syndrome,URXBPH,BPA,Bisphenols,0.8514777005034917,"0.960 (0.723, 1.274)",0.767,0.851
metabolic_syndrome,ln_URXBPF,1006,622,0.02073561897140007,0.06835171561214735,0.7638533070385,1.0209520955882891,0.8875623350327011,1.1743887052707296,Metabolic syndrome,URXBPF,BPF,Bisphenols,0.8514777005034917,"1.021 (0.888, 1.174)",0.764,0.851
metabolic_syndrome,ln_URXBPS,1006,621,-0.07183125308287228,0.09121558129023505,0.4376114896506713,0.9306879332805877,0.7720716663234484,1.1218907090306536,Metabolic syndrome,URXBPS,BPS,Bisphenols,0.7000062391350493,"0.931 (0.772, 1.122)",0.438,0.700
metabolic_syndrome,ln_URXMEP,1008,623,-0.0199388218493585,0.07439642088547578,0.7906578647532423,0.9802586418832141,0.8416988561720864,1.141628027578387,Metabolic syndrome,URXMEP,MEP,Phthalates,0.8514777005034917,"0.980 (0.842, 1.142)",0.791,0.851
metabolic_syndrome,ln_URXMBP,1008,623,-0.19529290544199215,0.14558476478333737,0.19055795190254585,0.822593680600341,0.6104799808553464,1.1084071297727793,Metabolic syndrome,URXMBP,MBP,Phthalates,0.44463522110594034,"0.823 (0.610, 1.108)",0.191,0.445
metabolic_syndrome,ln_URXMIB,1008,623,0.049538835988847146,0.11249656179453911,0.663058279592931,1.0507863997513203,0.8345188693112594,1.3231001700580047,Metabolic syndrome,URXMIB,MiBP,Phthalates,0.8514777005034917,"1.051 (0.835, 1.323)",0.663,0.851
metabolic_syndrome,ln_URXMHP,1008,623,-0.1874370986347256,0.13396778982733865,0.172757532576537,0.8290812668838813,0.6301120135674501,1.090878656964698,Metabolic syndrome,URXMHP,MEHP,Phthalates,0.44463522110594034,"0.829 (0.630, 1.091)",0.173,0.445
metabolic_syndrome,ln_URXMHH,1008,623,0.20621562229721063,0.1320418367047067,0.12958106995811802,1.2290181791501116,0.9377613196445075,1.6107357523064187,Metabolic syndrome,URXMHH,MEHHP,Phthalates,0.44463522110594034,"1.229 (0.938, 1.611)",0.130,0.445
metabolic_syndrome,ln_URXMOH,1008,623,0.21203234550316796,0.13072625639676883,0.11602055173434164,1.2361878695504918,0.9457772037067311,1.6157721319931915,Metabolic syndrome,URXMOH,MEOHP,Phthalates,0.44463522110594034,"1.236 (0.946, 1.616)",0.116,0.445
metabolic_syndrome,ln_URXECP,1008,623,0.21525679037732084,0.14673261567990525,0.1535189974072085,1.2401803224529602,0.9182263523979939,1.675019703129671,Metabolic syndrome,URXECP,MECPP,Phthalates,0.44463522110594034,"1.240 (0.918, 1.675)",0.154,0.445
metabolic_syndrome,ln_URXMZP,1008,623,0.2168479468909124,0.08955652036468151,0.022193067887383542,1.2421552142153391,1.0339637639967223,1.4922665860534416,Metabolic syndrome,URXMZP,MBzP,Phthalates,0.3107029504233696,"1.242 (1.034, 1.492)",0.022,0.311
metabolic_syndrome,ln_URXCOP,1008,623,0.06931418269714597,0.09047194466156679,0.4500040108725317,1.07177288875304,0.8904670355225511,1.2899939910655405,Metabolic syndrome,URXCOP,MCOP,Plasticizers,0.7000062391350493,"1.072 (0.890, 1.290)",0.450,0.700
metabolic_syndrome,ln_URXCNP,1008,623,0.007568974558343947,0.1107368985066124,0.945992031940958,1.0075976916535414,0.8031086418722004,1.2641541321966046,Metabolic syndrome,URXCNP,MCNP,Plasticizers,0.945992031940958,"1.008 (0.803, 1.264)",0.946,0.946
metabolic_syndrome,ln_URXMNP,1008,623,-0.14732321510418522,0.15441934834628396,0.3482246503599744,0.8630149928519076,0.6289918929930292,1.1841088671955784,Metabolic syndrome,URXMNP,MNP,Plasticizers,0.6964493007199488,"0.863 (0.629, 1.184)",0.348,0.696
metabolic_syndrome,ln_URXMONP,323,208,NA,NA,NA,NA,NA,NA,Metabolic syndrome,URXMONP,MONP,Plasticizers,NA,"NA (NA, NA)",NA,NA
