outcome,outcome_label,exposure,exposure_label,exposure_family,model_type,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],Log-ratio,composition_only,1984,0.21578324016310435,0.036615779346851014,2.1360358451312036e-6,24.083338700581237,15.130440278184732,33.73244214024407,Nominal positive,4.108996695647845e-6,"24.083 (15.130, 33.732)",<0.001,<0.001,FDR-significant positive association
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],Log-ratio,composition_plus_total_burden,1983,0.13735725667339188,0.04838757889263031,0.008499389515992767,14.723793372458172,3.880825317043035,26.69853869179022,Nominal positive,0.020905442717528252,"14.724 (3.881, 26.699)",0.008,0.021,FDR-significant positive association
ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR balance,composition_only,1984,0.24496252234093638,0.0417381670852486,2.2827759420265225e-6,27.757343184614403,17.303966700121954,39.142257476399344,Nominal positive,4.108996695647845e-6,"27.757 (17.304, 39.142)",<0.001,<0.001,FDR-significant positive association
ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR balance,composition_plus_total_burden,1983,0.1530108601949391,0.0559387575848082,0.010875349734191136,16.53376346678983,3.8974335158573847,30.706963282794163,Nominal positive,0.020905442717528252,"16.534 (3.897, 30.707)",0.011,0.021,FDR-significant positive association
ln_HOMA_IR,ln(HOMA-IR),ln_MEHHP_MEHP_ratio,ln(MEHHP/MEHP),Single log-ratio,composition_only,1984,0.21595765202375194,0.03642331300685458,1.935107736870693e-6,24.104982193945478,15.19585867173683,33.70312772483721,Nominal positive,4.108996695647845e-6,"24.105 (15.196, 33.703)",<0.001,<0.001,FDR-significant positive association
ln_HOMA_IR,ln(HOMA-IR),ln_MEHHP_MEHP_ratio,ln(MEHHP/MEHP),Single log-ratio,composition_plus_total_burden,1983,0.14356802371834101,0.04823297225710598,0.006085160545413984,15.438533371916495,4.5611769353209874,27.447446343323545,Nominal positive,0.020905442717528252,"15.439 (4.561, 27.447)",0.006,0.021,FDR-significant positive association
ln_HOMA_IR,ln(HOMA-IR),ln_MEOHP_MEHP_ratio,ln(MEOHP/MEHP),Single log-ratio,composition_only,1984,0.19786494584231254,0.03347250829895912,2.0323615758367287e-6,21.879777899850072,13.815209699947427,30.515774649788717,Nominal positive,4.108996695647845e-6,"21.880 (13.815, 30.516)",<0.001,<0.001,FDR-significant positive association
ln_HOMA_IR,ln(HOMA-IR),ln_MEOHP_MEHP_ratio,ln(MEOHP/MEHP),Single log-ratio,composition_plus_total_burden,1983,0.11573617791421645,0.044781425832940217,0.01548046202530726,12.269964009793721,2.413902276252622,23.07454885139235,Nominal positive,0.023220693037960892,"12.270 (2.414, 23.075)",0.015,0.023,FDR-significant positive association
ln_HOMA_IR,ln(HOMA-IR),ln_MECPP_MEHP_ratio,ln(MECPP/MEHP),Single log-ratio,composition_only,1984,0.17630050661796762,0.03826024897133332,7.532469853461073e-5,19.27964480253028,10.301739558883739,28.988298109500587,Nominal positive,9.684604097307094e-5,"19.280 (10.302, 28.988)",<0.001,<0.001,FDR-significant positive association
ln_HOMA_IR,ln(HOMA-IR),ln_MECPP_MEHP_ratio,ln(MECPP/MEHP),Single log-ratio,composition_plus_total_burden,1983,0.09922278091729123,0.04638475530324184,0.041622509033147556,10.431229186202607,0.4057333266901164,21.457769148466376,Nominal positive,0.05351465447118972,"10.431 (0.406, 21.458)",0.042,0.054,Nominal positive association
