outcome,outcome_label,exposure,exposure_label,model_type,n,quartile,beta,se,p_value,effect,effect_low,effect_high,p_trend,q_value,effect_CI,p_value_fmt,q_value_fmt,p_trend_fmt
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],composition_only,1984,Q2,0.10844144712767265,0.08090291974193639,0.19128928411731183,11.453964713007615,-5.593252012330208,31.57943171467734,2.197092657463329e-5,0.19128928411731183,"11.454 (-5.593, 31.579)",0.191,0.191,<0.001
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],composition_only,1984,Q3,0.19047913571187908,0.06853858290668269,0.0098003782879802,20.98291311505738,5.111297580496776,39.25111384526729,2.197092657463329e-5,0.014700567431970301,"20.983 (5.111, 39.251)",0.010,0.015,<0.001
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],composition_only,1984,Q4,0.38268846267322487,0.07682691727637529,3.2035840037072184e-5,46.622117628286965,25.23886518650722,71.65634123071997,2.197092657463329e-5,9.610752011121655e-5,"46.622 (25.239, 71.656)",<0.001,<0.001,<0.001
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],composition_plus_total_burden,1983,Q2,0.030090863914186725,0.08422675436254387,0.7238953101388356,3.0548169339837727,-13.357296839510912,22.575761211245183,0.01900408853205153,0.7238953101388356,"3.055 (-13.357, 22.576)",0.724,0.724,0.019
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],composition_plus_total_burden,1983,Q3,0.07501777472434445,0.07525705230168374,0.3284027217532153,7.790331014856355,-7.686244556330191,25.861583730954507,0.01900408853205153,0.4926040826298229,"7.790 (-7.686, 25.862)",0.328,0.493,0.019
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],composition_plus_total_burden,1983,Q4,0.22230503968723922,0.09516505129785521,0.02781004586537536,24.895229978208057,2.6658083098994867,51.93781384571609,0.01900408853205153,0.08343013759612608,"24.895 (2.666, 51.938)",0.028,0.083,0.019
ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,composition_only,1984,Q2,0.09979578509936791,0.07813146675264292,0.2123780896658088,10.49452487497351,-5.872199063103212,29.707056850622383,4.3596012240873965e-5,0.2123780896658088,"10.495 (-5.872, 29.707)",0.212,0.212,<0.001
ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,composition_only,1984,Q3,0.19115881551503427,0.06914544589015832,0.010145971910325837,21.065170708874483,5.051873925827266,39.519410849514756,4.3596012240873965e-5,0.015218957865488755,"21.065 (5.052, 39.519)",0.010,0.015,<0.001
ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,composition_only,1984,Q4,0.35926782586595885,0.07736189268293472,7.928729996652266e-5,43.228035193256446,22.20555691436146,67.86691688411996,4.3596012240873965e-5,2.37861899899568e-4,"43.228 (22.206, 67.867)",<0.001,<0.001,<0.001
ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,composition_plus_total_burden,1983,Q2,0.012105184783261167,0.08069614106660364,0.8819608529163243,1.2178749069325256,-14.280652619801993,19.51862110235978,0.03769093477410161,0.8819608529163243,"1.218 (-14.281, 19.519)",0.882,0.882,0.038
