outcome,outcome_label,mixture_var,mixture_label,n,events,OR,OR_low,OR_high,OR_CI,p_value,p_value_fmt,beta,se
obesity,Obesity,bisphenol_mixture_q,Bisphenol mixture index,1342,563,0.9695104501098867,0.6592977471598718,1.4256843996834534,"0.970 (0.659, 1.426)",0.8345027629996183,0.835,-0.030964025492244432,0.13888839497413702
obesity,Obesity,phthalate_mixture_q,Phthalate mixture index,1342,563,0.8095602237680567,0.5056817758052476,1.2960478056851992,"0.810 (0.506, 1.296)",0.28060648680432426,0.281,-0.21126411237716328,0.1694914103825534
obesity,Obesity,plasticizer_mixture_q,Plasticizer mixture index,1342,563,1.0212509690975502,0.7419673711638679,1.4056595780575678,"1.021 (0.742, 1.406)",0.8638844774809142,0.864,0.021028316124355014,0.11506740273041671
obesity,Obesity,total_mixture_q,Total organic pollutant mixture index,1342,563,0.8483520482457413,0.5101275283573591,1.4108260341884025,"0.848 (0.510, 1.411)",0.42008393893497054,0.420,-0.16445957810847858,0.18319647302195755
central_obesity,Central obesity,bisphenol_mixture_q,Bisphenol mixture index,1313,764,1.0597002396090367,0.7185350271647851,1.5628529652318741,"1.060 (0.719, 1.563)",0.6998582075975024,0.700,0.05798607530888219,0.13993682022724657
central_obesity,Central obesity,phthalate_mixture_q,Phthalate mixture index,1313,764,0.9795312645083956,0.6797678742213151,1.4114840293806434,"0.980 (0.680, 1.411)",0.8827207361648789,0.883,-0.020681123262224984,0.13157932659362104
central_obesity,Central obesity,plasticizer_mixture_q,Plasticizer mixture index,1313,764,1.1281179000300927,0.7710280508734235,1.650588451258866,"1.128 (0.771, 1.651)",0.42881870824339446,0.429,0.12055066891717002,0.13707499270542514
central_obesity,Central obesity,total_mixture_q,Total organic pollutant mixture index,1313,764,1.0796714653022648,0.7084876772880471,1.6453221564134688,"1.080 (0.708, 1.645)",0.6399789562446339,0.640,0.07665679606409044,0.15173338307877549
metabolic_syndrome,Metabolic syndrome,bisphenol_mixture_q,Bisphenol mixture index,323,208,1.3462572608601517,0.5911050410412324,3.0661362813386233,"1.346 (0.591, 3.066)",0.3726374578699366,0.373,0.2973283428705014,0.2964545865791447
metabolic_syndrome,Metabolic syndrome,phthalate_mixture_q,Phthalate mixture index,323,208,1.2230146887370228,0.5433242169245919,2.752987778334413,"1.223 (0.543, 2.753)",0.5287636894695755,0.529,0.20131886704748392,0.29223265325329734
metabolic_syndrome,Metabolic syndrome,plasticizer_mixture_q,Plasticizer mixture index,323,208,1.3753967640202966,0.6990392607810348,2.7061659689384165,"1.375 (0.699, 2.706)",0.2611005058364884,0.261,0.31874224514548466,0.24376156947435426
metabolic_syndrome,Metabolic syndrome,total_mixture_q,Total organic pollutant mixture index,323,208,1.604864789671605,0.5279514960762315,4.8784613970594615,"1.605 (0.528, 4.878)",0.3029175945558475,0.303,0.4730395098380602,0.4004366485561856
