analysis,perm_id,outcome,outcome_label,exposure,exposure_label,n,beta,se,p_value,effect
Permuted exposure,1,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1957,0.03971863387611284,0.028760622024188772,0.17820040329684556,4.0517966494169055
Permuted exposure,1,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1976,0.030921079438279975,0.03329845164902131,0.3607595020644129,3.1404101683345953
Permuted exposure,1,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4059,0.023563473586547812,0.016677275828984053,0.16954244181514516,0.023563473586547812
Permuted exposure,1,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4100,-0.010618542747802134,0.019697265231935872,0.5942445029777137,-0.010618542747802134
Permuted exposure,2,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1956,0.05682826999709641,0.027985115098803384,0.05188347967420296,5.847402303972538
Permuted exposure,2,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1972,0.0077533593158950025,0.04119216684457359,0.8520119041117821,0.77834944387003
Permuted exposure,2,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4060,0.018276620495335908,0.016112286666665584,0.26700734497275985,0.018276620495335908
Permuted exposure,2,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4101,0.011500976152014484,0.016733306112711552,0.4977489971523801,0.011500976152014484
Permuted exposure,3,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1951,-0.009049892089531896,0.027081545660406867,0.7407399420164349,-0.9009065068985245
Permuted exposure,3,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1982,0.04865102602984188,0.03274103028313671,0.14808778381715745,4.985391511665549
Permuted exposure,3,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4051,0.0074047289676922295,0.0173779343916401,0.6735422940028049,0.0074047289676922295
Permuted exposure,3,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4111,0.015035868318451847,0.021038552467728778,0.48093985426315844,0.015035868318451847
Permuted exposure,4,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1947,-0.006707445635852151,0.026069660720100172,0.7988368359369421,-0.6685000932619145
Permuted exposure,4,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1976,-0.027963074164770365,0.04576232594002893,0.5459265801532058,-2.7575726283199042
Permuted exposure,4,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4050,0.004832341818776554,0.018030716287860873,0.7908094589313075,0.004832341818776554
Permuted exposure,4,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4105,0.035072808387824284,0.023319101755217085,0.14376878639288268,0.035072808387824284
Permuted exposure,5,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1953,0.04337387632610179,0.028076696220643425,0.1336145806737185,4.4328271487161786
Permuted exposure,5,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1976,-0.014428724021875079,0.054520134057438815,0.7931514491527838,-1.4325128830747214
Permuted exposure,5,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4061,0.010841908535222454,0.012327015131758424,0.38717408601406245,0.010841908535222454
Permuted exposure,5,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4101,0.02496036912545199,0.022607468385462272,0.27930289914819517,0.02496036912545199
Permuted exposure,6,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1949,-0.02576835458322894,0.02744146220472117,0.35574586198756153,-2.5439183990109804
Permuted exposure,6,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1973,0.06081483579984711,0.028972487158181254,0.04463148815540371,6.270212157994148
Permuted exposure,6,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4056,0.010673980095922353,0.0152902832560624,0.4913182936316296,0.010673980095922353
Permuted exposure,6,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4104,0.042475006368660514,0.023338379576019124,0.07986888772426498,0.042475006368660514
Permuted exposure,7,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1948,0.018782977491462596,0.024442313068090662,0.4486463668187016,1.8960487258734338
Permuted exposure,7,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1966,-0.045456619004307613,0.039403736250601167,0.2580787423830374,-4.443894513716806
Permuted exposure,7,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4055,-0.013365036329132081,0.01423734703941073,0.3565084823550393,-0.013365036329132081
Permuted exposure,7,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4096,0.0036410860935007674,0.024885778962326705,0.8847621074223593,0.0036410860935007674
Permuted exposure,8,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1949,0.012509629833719348,0.026435892055120546,0.6397344709107289,1.2588202549700833
Permuted exposure,8,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1973,0.021256245797630347,0.03671712878445073,0.5671135641244622,2.1483769027266675
Permuted exposure,8,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4049,-0.010882872148324086,0.014431921493583253,0.45757478474928404,-0.010882872148324086
Permuted exposure,8,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4101,0.038118753440499406,0.020144385151035487,0.06922311735189912,0.038118753440499406
Permuted exposure,9,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1952,-0.014100151309736865,0.0279081442644973,0.6173482585460605,-1.4001209752469768
Permuted exposure,9,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1975,0.07934205085521819,0.044704527218817264,0.08642811714173733,8.25745542997154
Permuted exposure,9,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4052,0.004027374298054354,0.015697201381046303,0.79953284556968085,0.004027374298054354
Permuted exposure,9,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4103,-0.01457606320575357,0.022873830555330255,0.5293370231957695,-0.01457606320575357
Permuted exposure,10,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1941,-0.07383717408334746,0.02420293193367728,0.004952638543544149,-7.117708202762407
Permuted exposure,10,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1969,-0.0279426571395517,0.04190833240188049,0.5101980853241512,-2.7555872069597975
Permuted exposure,10,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4043,9.718297370237814e-4,0.014918438665438119,0.9485585590248398,9.718297370237814e-4
Permuted exposure,10,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4103,-0.008645808423027892,0.01947951968878367,0.6606943264948463,-0.008645808423027892
Permuted exposure,11,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1953,-0.039983713594663954,0.019040509339200026,0.04486997911722052,-3.919491291400423
Permuted exposure,11,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1971,0.04797483027945285,0.039716541938080795,0.2368327781168933,4.914424832459963
Permuted exposure,11,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4054,-0.013393925920595264,0.012526879415537854,0.2947994576755022,-0.013393925920595264
Permuted exposure,11,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4106,0.016224703160566265,0.01901814728948378,0.4010996024107195,0.016224703160566265
Permuted exposure,12,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1948,0.029571993831172146,0.024433426419117707,0.23627880087355446,3.0013587426936272
Permuted exposure,12,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1969,-0.014317385180368274,0.03687379503082727,0.7006441259929317,-1.4215378822882818
Permuted exposure,12,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4058,0.023523400420331964,0.01660295290759233,0.1684069015481873,0.023523400420331964
Permuted exposure,12,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4101,-0.028029680008613403,0.02545291441182091,0.2801707123159933,-0.028029680008613403
Permuted exposure,13,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1945,0.0017426258976987253,0.022514747348097282,0.9388563371895091,0.1744145152577925
Permuted exposure,13,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1975,0.06748760877585004,0.04310815692544446,0.1283041951123324,6.981700317348483
Permuted exposure,13,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),4050,0.003306321116809212,0.015362456340185926,0.8312744574754692,0.003306321116809212
Permuted exposure,13,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,4097,0.030010906317391246,0.02332631816904201,0.20916727560360449,0.030010906317391246
Permuted exposure,14,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1951,0.01406047173767924,0.023688660001536826,0.5575761360057525,1.4159785088712962
Permuted exposure,14,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1979,-0.06106531008519708,0.03561091436539843,0.09705256518106589,-5.923820346348196
