outcome,outcome_label,label,exposure,quartile,reference,n,beta,se,p_value,effect,effect_low,effect_high,p_trend,q_value,effect_CI,p_value_fmt,p_trend_fmt,q_value_fmt
ln_HOMA_IR,ln(HOMA-IR),MEHHP,ln_URXMHH,Q2,Q1,1983,0.16817590650105255,0.05863359009556866,0.00808383138900132,18.314471519089114,4.880648422493161,33.46898957424078,5.565666011739229e-5,0.00808383138900132,"18.314 (4.881, 33.469)",0.008,<0.001,0.008
ln_HOMA_IR,ln(HOMA-IR),MEHHP,ln_URXMHH,Q3,Q1,1983,0.2828810619693817,0.06646985523949693,2.3930341207600603e-4,32.69473279291992,15.748589104533451,52.12187247554778,5.565666011739229e-5,3.58955118114009e-4,"32.695 (15.749, 52.122)",<0.001,<0.001,<0.001
ln_HOMA_IR,ln(HOMA-IR),MEHHP,ln_URXMHH,Q4,Q1,1983,0.29514962092297636,0.06399932968789203,9.366862805337546e-5,34.332733352638286,17.773972546934267,53.21961940954119,5.565666011739229e-5,2.810058841601264e-4,"34.333 (17.774, 53.220)",<0.001,<0.001,<0.001
ln_HOMA_IR,ln(HOMA-IR),MEOHP,ln_URXMOH,Q2,Q1,1983,0.1656713878865941,0.07868674145174911,0.04506398702123539,18.018521483694382,0.3936200971770054,38.73761499700008,0.002598388285607137,0.04506398702123539,"18.019 (0.394, 38.738)",0.045,0.003,0.045
ln_HOMA_IR,ln(HOMA-IR),MEOHP,ln_URXMOH,Q3,Q1,1983,0.21578813914182687,0.0755610179631301,0.008327528919316358,24.08394658370636,6.233598442952504,44.93367470797101,0.002598388285607137,0.012491293378974536,"24.084 (6.234, 44.934)",0.008,0.003,0.012
ln_HOMA_IR,ln(HOMA-IR),MEOHP,ln_URXMOH,Q4,Q1,1983,0.2514984402553544,0.07511470286766263,0.002489044635337992,28.59508943073159,10.19683141043155,50.0650863916986,0.002598388285607137,0.0074671339060139764,"28.595 (10.197, 50.065)",0.002,0.003,0.007
ln_HOMA_IR,ln(HOMA-IR),MECPP,ln_URXECP,Q2,Q1,1983,0.17035487245410386,0.056040078931000124,0.005341242152697019,18.572555800600664,5.671267625210086,33.04894797847948,7.077614016037071e-4,0.005341242152697019,"18.573 (5.671, 33.049)",0.005,<0.001,0.005
ln_HOMA_IR,ln(HOMA-IR),MECPP,ln_URXECP,Q3,Q1,1983,0.284071916045321,0.07844947251465123,0.0012455246831808374,32.85284698310038,13.067716674628848,56.100074102544625,7.077614016037071e-4,0.0018682870247712562,"32.853 (13.068, 56.100)",0.001,<0.001,0.002
ln_HOMA_IR,ln(HOMA-IR),MECPP,ln_URXECP,Q4,Q1,1983,0.2825589054717842,0.07608582997786634,9.81956642901718e-4,32.65199120766309,13.446621152056238,55.1086369313079,7.077614016037071e-4,0.0018682870247712562,"32.652 (13.447, 55.109)",<0.001,<0.001,0.002
HbA1c,HbA1c,MEHHP,ln_URXMHH,Q2,Q1,4124,0.16763280021358676,0.04514515875774354,0.0010839420296674068,0.16763280021358676,0.07445777198901102,0.2608078284381625,0.013235044382532682,0.0032518260890022207,"0.168 (0.074, 0.261)",0.001,0.013,0.003
HbA1c,HbA1c,MEHHP,ln_URXMHH,Q3,Q1,4124,0.20222472973949576,0.06227733141401333,0.0034254980850506435,0.20222472973949576,0.07369063501208181,0.33075882446690974,0.013235044382532682,0.004888686212713949,"0.202 (0.074, 0.331)",0.003,0.013,0.005
HbA1c,HbA1c,MEHHP,ln_URXMHH,Q4,Q1,4124,0.17842426357720018,0.05755805472971179,0.004888686212713949,0.17842426357720018,0.059630277210440855,0.2972182499439595,0.013235044382532682,0.004888686212713949,"0.178 (0.060, 0.297)",0.005,0.013,0.005
HbA1c,HbA1c,MEOHP,ln_URXMOH,Q2,Q1,4124,0.18781489722545544,0.04464273027789386,3.1186277930478595e-4,0.18781489722545544,0.0956768304177624,0.2799529640331485,0.0025062794829860667,8.082377648135369e-4,"0.188 (0.096, 0.280)",<0.001,0.003,<0.001
HbA1c,HbA1c,MEOHP,ln_URXMOH,Q3,Q1,4124,0.20762917302172557,0.058747267031908634,0.0016924435553791898,0.20762917302172557,0.08638077309499181,0.3288775729484593,0.0025062794829860667,0.0016924435553791898,"0.208 (0.086, 0.329)",0.002,0.003,0.002
HbA1c,HbA1c,MEOHP,ln_URXMOH,Q4,Q1,4124,0.23910721882680394,0.059909386474618735,5.388251765423579e-4,0.23910721882680394,0.11546032225382086,0.362754115399787,0.0025062794829860667,8.082377648135369e-4,"0.239 (0.115, 0.363)",<0.001,0.003,<0.001
HbA1c,HbA1c,MECPP,ln_URXECP,Q2,Q1,4124,0.1598539914191178,0.044882997799146944,0.0015816563796681427,0.1598539914191178,0.06722003681990459,0.252487946018331,0.0023399511692346474,0.002372484569502214,"0.160 (0.067, 0.252)",0.002,0.002,0.002
HbA1c,HbA1c,MECPP,ln_URXECP,Q3,Q1,4124,0.1946095432706686,0.06033993507367263,0.00361297787641511,0.1946095432706686,0.07007403806338722,0.31914504847795,0.0023399511692346474,0.00361297787641511,"0.195 (0.070, 0.319)",0.004,0.002,0.004
HbA1c,HbA1c,MECPP,ln_URXECP,Q4,Q1,4124,0.2549717861345197,0.06670070608289781,8.238744528064709e-4,0.2549717861345197,0.11730829479045324,0.3926352774785862,0.0023399511692346474,0.002372484569502214,"0.255 (0.117, 0.393)",<0.001,0.002,0.002
