scenario,outcome,outcome_label,label,exposure,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,direction
A_Main_Model2,ln_HOMA_IR,ln(HOMA-IR),MEHP,ln_URXMHP,1983,-0.015246679403515203,0.03321801272589276,0.6497858810255472,-1.5131037252669288,-7.9916354368688935,5.421597089410812,0.6497858810255472,"-1.513 (-7.992, 5.422)",0.650,0.650,negative
B_Exclude_diabetes,ln_HOMA_IR,ln(HOMA-IR),MEHP,ln_URXMHP,1653,-0.02468489965827577,0.034707301423695,0.4828247154659443,-2.438271906161904,-9.13357216453491,4.7503573695126144,0.4828247154659443,"-2.438 (-9.134, 4.750)",0.483,0.483,negative
C_Trim_exposure_P1_P99,ln_HOMA_IR,ln(HOMA-IR),MEHP,ln_URXMHP,1963,-0.01692137289528707,0.03847434339406077,0.6634514143402692,-1.677901058456499,-9.129293064882592,6.384504603592123,0.6634514143402692,"-1.678 (-9.129, 6.385)",0.663,0.663,negative
D_Lifestyle_adjusted,ln_HOMA_IR,ln(HOMA-IR),MEHP,ln_URXMHP,1292,-0.06655111635156603,0.031447292483413866,0.057943140036884624,-6.4384910595856155,-12.695322104098494,0.26674590844786294,0.057943140036884624,"-6.438 (-12.695, 0.267)",0.058,0.058,negative
E_Creatinine_corrected_exposure,ln_HOMA_IR,ln(HOMA-IR),MEHP,cr_ln_URXMHP,1983,-0.08631997008097828,0.031343428526359095,0.010057572016989733,-8.269932451328732,-13.965729866755261,-2.197051483646384,0.010057572016989733,"-8.270 (-13.966, -2.197)",0.010,0.010,negative
A_Main_Model2,HbA1c,HbA1c,MEHP,ln_URXMHP,4124,0.015047613125504853,0.020764948440544138,0.47512951722168517,0.015047613125504853,-0.027635349685935034,0.057730575936944736,0.47512951722168517,"0.015 (-0.028, 0.058)",0.475,0.475,positive
B_Exclude_diabetes,HbA1c,HbA1c,MEHP,ln_URXMHP,3416,-0.004736187115152442,0.013484104818848822,0.7282370239844163,-0.004736187115152442,-0.032453161524042415,0.02298078729373753,0.7282370239844163,"-0.005 (-0.032, 0.023)",0.728,0.728,negative
C_Trim_exposure_P1_P99,HbA1c,HbA1c,MEHP,ln_URXMHP,4082,0.01910285756486012,0.0228796243611423,0.4113643951886087,0.01910285756486012,-0.027926883854558503,0.06613259898427874,0.4113643951886087,"0.019 (-0.028, 0.066)",0.411,0.411,positive
D_Lifestyle_adjusted,HbA1c,HbA1c,MEHP,ln_URXMHP,2671,-0.016713373716711173,0.026244315268072905,0.5385348803853676,-0.016713373716711173,-0.07518935220928097,0.04176260477585863,0.5385348803853676,"-0.017 (-0.075, 0.042)",0.539,0.539,negative
E_Creatinine_corrected_exposure,HbA1c,HbA1c,MEHP,cr_ln_URXMHP,4124,0.006615807967150195,0.01755705390130438,0.7092544463884025,0.006615807967150195,-0.029408291007035375,0.042639906941335765,0.7092544463884025,"0.007 (-0.029, 0.043)",0.709,0.709,positive
A_Main_Model2,TyG,TyG index,MEHP,ln_URXMHP,1969,-0.0635389885203405,0.026382291745249104,0.02285256317360784,-0.0635389885203405,-0.1175806633482345,-0.009497313692446503,0.09141025269443136,"-0.064 (-0.118, -0.009)",0.023,0.091,negative
B_Exclude_diabetes,TyG,TyG index,MEHP,ln_URXMHP,1639,-0.07547125391233575,0.025638123852948645,0.0064535909796904585,-0.07547125391233575,-0.12798856991494678,-0.022953937909724734,0.025814363918761834,"-0.075 (-0.128, -0.023)",0.006,0.026,negative
C_Trim_exposure_P1_P99,TyG,TyG index,MEHP,ln_URXMHP,1949,-0.06710559022370889,0.030836777991385324,0.03813749259145452,-0.06710559022370889,-0.130271866491217,-0.003939313956200785,0.15254997036581808,"-0.067 (-0.130, -0.004)",0.038,0.153,negative
D_Lifestyle_adjusted,TyG,TyG index,MEHP,ln_URXMHP,1279,-0.07533923838665196,0.023593412745478996,0.008557154278226488,-0.07533923838665196,-0.12726798971536815,-0.023410487057935768,0.03422861711290595,"-0.075 (-0.127, -0.023)",0.009,0.034,negative
E_Creatinine_corrected_exposure,TyG,TyG index,MEHP,cr_ln_URXMHP,1969,-0.07857767777835761,0.02008538843868515,5.075358450067978e-4,-0.07857767777835761,-0.11965690958690597,-0.037498445969809245,0.002030143380027191,"-0.079 (-0.120, -0.037)",<0.001,0.002,negative
A_Main_Model2,ln_TG_HDL,ln(TG/HDL-C),MEHP,ln_URXMHP,1969,-0.06618930192753145,0.02808828332438649,0.025678966109664962,-6.4046330313243915,-11.637767525807597,-0.8615731776630109,0.10271586443865985,"-6.405 (-11.638, -0.862)",0.026,0.103,negative
B_Exclude_diabetes,ln_TG_HDL,ln(TG/HDL-C),MEHP,ln_URXMHP,1639,-0.07457150305650265,0.029515130914733453,0.017451427028165396,-7.185889323971983,-12.631074324199199,-1.4013383597323292,0.06980570811266158,"-7.186 (-12.631, -1.401)",0.017,0.070,negative
C_Trim_exposure_P1_P99,ln_TG_HDL,ln(TG/HDL-C),MEHP,ln_URXMHP,1949,-0.07297942478374846,0.033242671351824675,0.03659113662790488,-7.038004303933221,-13.157491088004015,-0.487298765710964,0.1463645465116195,"-7.038 (-13.157, -0.487)",0.037,0.146,negative
D_Lifestyle_adjusted,ln_TG_HDL,ln(TG/HDL-C),MEHP,ln_URXMHP,1279,-0.07907840730009745,0.028082068411335002,0.016788109342207397,-7.603252419028317,-13.141221612747135,-1.712191651147077,0.06715243736882959,"-7.603 (-13.141, -1.712)",0.017,0.067,negative
E_Creatinine_corrected_exposure,ln_TG_HDL,ln(TG/HDL-C),MEHP,cr_ln_URXMHP,1969,-0.08211046172146125,0.023205635667386232,0.0013779289275855041,-7.882980096976555,-12.152806261752314,-3.405618384375242,0.0055117157103420165,"-7.883 (-12.153, -3.406)",0.001,0.006,negative
A_Main_Model2,ln_HOMA_IR,ln(HOMA-IR),MEHHP,ln_URXMHH,1983,0.1043888142898297,0.023766260872931835,1.4563866716909435e-4,11.003196731211196,5.728662209692037,16.54086438841236,5.825546686763774e-4,"11.003 (5.729, 16.541)",<0.001,<0.001,positive
B_Exclude_diabetes,ln_HOMA_IR,ln(HOMA-IR),MEHHP,ln_URXMHH,1653,0.08104060454584322,0.021830327079568397,9.037348361438252e-4,8.441492784847004,3.6990954704222867,13.40077079804578,0.0036149393445753008,"8.441 (3.699, 13.401)",<0.001,0.004,positive
C_Trim_exposure_P1_P99,ln_HOMA_IR,ln(HOMA-IR),MEHHP,ln_URXMHH,1946,0.11867606152108787,0.029317803882552878,3.6949419776994603e-4,12.600510282240386,6.037356162408125,19.569889090801198,0.0013692379229023877,"12.601 (6.037, 19.570)",<0.001,0.001,positive
D_Lifestyle_adjusted,ln_HOMA_IR,ln(HOMA-IR),MEHHP,ln_URXMHH,1292,0.07921434509124058,0.022433338321617032,0.004705737942464032,8.243631211654545,3.0288541463950436,13.722352781253733,0.012394735352153644,"8.244 (3.029, 13.722)",0.005,0.012,positive
E_Creatinine_corrected_exposure,ln_HOMA_IR,ln(HOMA-IR),MEHHP,cr_ln_URXMHH,1983,0.09876278664622791,0.025827824583844677,6.439667707689456e-4,10.380443134972284,4.701049342910535,16.367909425330286,0.0025758670830757823,"10.380 (4.701, 16.368)",<0.001,0.003,positive
A_Main_Model2,HbA1c,HbA1c,MEHHP,ln_URXMHH,4124,0.07568962377673297,0.020833961849557606,0.0012080977302143968,0.07568962377673297,0.032864801871404795,0.11851444568206114,0.0022641528246275947,"0.076 (0.033, 0.119)",0.001,0.002,positive
B_Exclude_diabetes,HbA1c,HbA1c,MEHHP,ln_URXMHH,3416,0.028700399017539714,0.012714309559603367,0.032614710612450144,0.028700399017539714,0.0025657614257564958,0.05483503660932293,0.056868428716731076,"0.029 (0.003, 0.055)",0.033,0.057,positive
C_Trim_exposure_P1_P99,HbA1c,HbA1c,MEHHP,ln_URXMHH,4048,0.0849089301404995,0.021642031975410522,5.708006523628587e-4,0.0849089301404995,0.0404230963029928,0.1293947639780062,0.0011416013047257174,"0.085 (0.040, 0.129)",<0.001,0.001,positive
D_Lifestyle_adjusted,HbA1c,HbA1c,MEHHP,ln_URXMHH,2671,0.07682518092673774,0.02458977705402122,0.010795179894793356,0.07682518092673774,0.02203574331099247,0.131614618542483,0.021590359789586712,"0.077 (0.022, 0.132)",0.011,0.022,positive
E_Creatinine_corrected_exposure,HbA1c,HbA1c,MEHHP,cr_ln_URXMHH,4124,0.07457091086180502,0.020995989817121776,0.0014298951343465073,0.07457091086180502,0.03149069823132524,0.11765112349228479,0.0024980087354285244,"0.075 (0.031, 0.118)",0.001,0.002,positive
A_Main_Model2,TyG,TyG index,MEHHP,ln_URXMHH,1969,0.024725644126346646,0.02117777723606907,0.25284373049600245,0.024725644126346646,-0.01865506601136599,0.06810635426405928,0.5056874609920049,"0.025 (-0.019, 0.068)",0.253,0.506,positive
B_Exclude_diabetes,TyG,TyG index,MEHHP,ln_URXMHH,1639,-0.005519253425411543,0.022383582945871575,0.8070352366660084,-0.005519253425411543,-0.051369944590701114,0.04033143773987803,0.8070352366660084,"-0.006 (-0.051, 0.040)",0.807,0.807,negative
C_Trim_exposure_P1_P99,TyG,TyG index,MEHHP,ln_URXMHH,1933,0.030316092505856873,0.025171641339168962,0.23852696270928925,0.030316092505856873,-0.021245677384005242,0.08187786239571898,0.34886400316662725,"0.030 (-0.021, 0.082)",0.239,0.349,positive
D_Lifestyle_adjusted,TyG,TyG index,MEHHP,ln_URXMHH,1279,0.01599864464883987,0.027573173131486047,0.5734563488336486,0.01599864464883987,-0.04468950023019842,0.07668678952787816,0.7646084651115315,"0.016 (-0.045, 0.077)",0.573,0.765,positive
E_Creatinine_corrected_exposure,TyG,TyG index,MEHHP,cr_ln_URXMHH,1969,0.022926440072613883,0.02171372383793525,0.2997537676250192,0.022926440072613883,-0.021483111561814778,0.06733599170704255,0.5995075352500384,"0.023 (-0.021, 0.067)",0.300,0.600,positive
A_Main_Model2,ln_TG_HDL,ln(TG/HDL-C),MEHHP,ln_URXMHH,1969,0.02155789920485844,0.02469940570936515,0.3901901722194313,2.1791949566140056,-2.8619030295155667,7.481906765726731,0.7020037771867053,"2.179 (-2.862, 7.482)",0.390,0.702,positive
B_Exclude_diabetes,ln_TG_HDL,ln(TG/HDL-C),MEHHP,ln_URXMHH,1639,-0.0028837369394985554,0.026589743743689144,0.9144098476782839,-0.28795829640806403,-5.573681868128899,5.293645430648586,0.9144098476782839,"-0.288 (-5.574, 5.294)",0.914,0.914,negative
C_Trim_exposure_P1_P99,ln_TG_HDL,ln(TG/HDL-C),MEHHP,ln_URXMHH,1933,0.02280159855013545,0.029184162920053148,0.44118228901092815,2.3063542120331126,-3.630406013444787,8.608843092336894,0.5882430520145708,"2.306 (-3.630, 8.609)",0.441,0.588,positive
D_Lifestyle_adjusted,ln_TG_HDL,ln(TG/HDL-C),MEHHP,ln_URXMHH,1279,0.012417719150835706,0.033751711263492336,0.7199189846100338,1.2495139153350099,-5.999425916720769,9.05746234070226,0.7199189846100338,"1.250 (-5.999, 9.057)",0.720,0.720,positive
E_Creatinine_corrected_exposure,ln_TG_HDL,ln(TG/HDL-C),MEHHP,cr_ln_URXMHH,1969,0.019669814026107704,0.025349387175898564,0.4440619951887972,1.986453946020439,-3.1663379819854565,7.413440447483466,0.8023792525943568,"1.986 (-3.166, 7.413)",0.444,0.802,positive
A_Main_Model2,ln_HOMA_IR,ln(HOMA-IR),MEOHP,ln_URXMOH,1983,0.08726243133145764,0.025228849354472005,0.0017542904031256834,9.118300275484348,3.62241445038618,14.9056747824736,0.0023390538708342444,"9.118 (3.622, 14.906)",0.002,0.002,positive
B_Exclude_diabetes,ln_HOMA_IR,ln(HOMA-IR),MEOHP,ln_URXMOH,1653,0.06443601338006029,0.02243222440491374,0.007681553230537663,6.655733066264502,1.8657602678750829,11.670941894395192,0.01227205113376829,"6.656 (1.866, 11.671)",0.008,0.012,positive
C_Trim_exposure_P1_P99,ln_HOMA_IR,ln(HOMA-IR),MEOHP,ln_URXMOH,1951,0.0981342470036132,0.02941584152571171,0.0024073423294814636,10.311086449689011,3.8605166749094755,17.162288262045845,0.0032097897726419515,"10.311 (3.861, 17.162)",0.002,0.003,positive
D_Lifestyle_adjusted,ln_HOMA_IR,ln(HOMA-IR),MEOHP,ln_URXMOH,1292,0.06771134722875997,0.02285383388325392,0.012910479653589794,7.0056389153597465,1.7562842400601797,12.525794796824407,0.017213972871453057,"7.006 (1.756, 12.526)",0.013,0.017,positive
E_Creatinine_corrected_exposure,ln_HOMA_IR,ln(HOMA-IR),MEOHP,cr_ln_URXMOH,1983,0.08886594355240432,0.027261275111691175,0.0028470613570478007,9.293413163811648,3.366462431022277,15.560210537017438,0.005060371816908854,"9.293 (3.366, 15.560)",0.003,0.005,positive
A_Main_Model2,HbA1c,HbA1c,MEOHP,ln_URXMOH,4124,0.0845534171504173,0.02176196044931957,6.299569291420026e-4,0.0845534171504173,0.039821066804259043,0.12928576749657555,0.0022641528246275947,"0.085 (0.040, 0.129)",<0.001,0.002,positive
