model_id,model_label,outcome_label,exposure_label,n,effect_CI,p_value_fmt,q_value_fmt,beta_ratio_vs_main,attenuation_percent,sample_ratio_vs_main,same_direction_as_main,source_adjusted_decision,source_terms_used
M0,Main model,HbA1c,%Oxidative per 10 percentage points,4125,"0.068 (0.027, 0.108)",0.002,0.004,1,0,1,TRUE,Reference,
M1,Diet-source adjusted,HbA1c,%Oxidative per 10 percentage points,4125,"0.066 (0.025, 0.106)",0.003,0.005,0.9753497116313466,2.465028836865335,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,HbA1c,%Oxidative per 10 percentage points,4125,"0.069 (0.027, 0.112)",0.003,0.005,1.0230726081427148,-2.3072608142714834,1,TRUE,Robust after source adjustment,ln_MEP_z
M3,Primary source-adjusted,HbA1c,%Oxidative per 10 percentage points,4125,"0.068 (0.026, 0.110)",0.003,0.006,1.0062068650703215,-0.6206865070321532,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,HbA1c,%Oxidative per 10 percentage points,4125,"0.068 (0.026, 0.110)",0.003,0.006,1.008307339943003,-0.8307339943002923,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
M0,Main model,HbA1c,ILR oxidative-vs-primary balance,4124,"0.081 (0.028, 0.135)",0.005,0.005,1,0,1,TRUE,Reference,
M1,Diet-source adjusted,HbA1c,ILR oxidative-vs-primary balance,4124,"0.081 (0.027, 0.136)",0.005,0.006,0.9976133907629707,0.2386609237029269,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,HbA1c,ILR oxidative-vs-primary balance,4124,"0.082 (0.028, 0.135)",0.005,0.005,1.0020570641221807,-0.20570641221806518,1,TRUE,Robust after source adjustment,ln_MEP_z
M3,Primary source-adjusted,HbA1c,ILR oxidative-vs-primary balance,4124,"0.081 (0.027, 0.136)",0.006,0.006,1.0000513853542248,-0.005138535422477553,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,HbA1c,ILR oxidative-vs-primary balance,4124,"0.081 (0.026, 0.137)",0.006,0.006,0.9998502902016132,0.014970979838679899,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
M0,Main model,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],4124,"0.067 (0.023, 0.112)",0.005,0.005,1,0,1,TRUE,Reference,
M1,Diet-source adjusted,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],4124,"0.067 (0.022, 0.113)",0.006,0.006,0.996205981850813,0.3794018149187006,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],4124,"0.068 (0.023, 0.112)",0.005,0.005,1.0021995007157234,-0.21995007157233903,1,TRUE,Robust after source adjustment,ln_MEP_z
M3,Primary source-adjusted,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],4124,"0.067 (0.022, 0.113)",0.006,0.006,0.9988151924238072,0.11848075761927701,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],4124,"0.067 (0.022, 0.113)",0.006,0.006,0.9975582843772575,0.24417156227425352,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
M0,Main model,TyG index,%Oxidative per 10 percentage points,1970,"0.132 (0.062, 0.202)",<0.001,0.002,1,0,1,TRUE,Reference,
M1,Diet-source adjusted,TyG index,%Oxidative per 10 percentage points,1970,"0.133 (0.064, 0.202)",<0.001,0.002,1.0109257632561743,-1.0925763256174337,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,TyG index,%Oxidative per 10 percentage points,1970,"0.140 (0.065, 0.214)",<0.001,0.003,1.0576441586384306,-5.764415863843064,1,TRUE,Robust after source adjustment,ln_MEP_z
M3,Primary source-adjusted,TyG index,%Oxidative per 10 percentage points,1970,"0.141 (0.068, 0.214)",<0.001,0.002,1.0668482056427886,-6.684820564278859,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,TyG index,%Oxidative per 10 percentage points,1970,"0.142 (0.068, 0.216)",<0.001,0.002,1.0745873521720866,-7.458735217208656,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
M0,Main model,TyG index,ILR oxidative-vs-primary balance,1969,"0.135 (0.046, 0.224)",0.004,0.006,1,0,1,TRUE,Reference,
M1,Diet-source adjusted,TyG index,ILR oxidative-vs-primary balance,1969,"0.137 (0.048, 0.226)",0.004,0.005,1.0128703285407845,-1.2870328540784515,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,TyG index,ILR oxidative-vs-primary balance,1969,"0.135 (0.045, 0.225)",0.005,0.006,0.9960706833151944,0.39293166848055616,1,TRUE,Robust after source adjustment,ln_MEP_z
