model_id,model_label,model_role,outcome,outcome_label,exposure,exposure_label,exposure_type,source_terms_requested,source_terms_used,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference,beta_main,effect_main,p_main,q_main,n_main,same_direction_as_main,beta_ratio_vs_main,attenuation_percent,sample_ratio_vs_main,source_adjusted_decision
M0,Main model,Reference,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,,,1983,0.10681642137374453,0.025577098796784607,2.6150465869782303e-4,11.272996229018917,5.593233817358767,17.25826780908568,Nominal positive,5.230093173956461e-4,"11.273 (5.593, 17.258)",<0.001,<0.001,FDR-significant positive association,0.10681642137374453,11.272996229018917,2.6150465869782303e-4,5.230093173956461e-4,1983,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,1983,0.10793216402029289,0.02510296798527458,2.2884719747069947e-4,11.397217542942872,5.784268733978748,17.307991299879966,Nominal positive,4.5769439494139895e-4,"11.397 (5.784, 17.308)",<0.001,<0.001,FDR-significant positive association,0.10681642137374453,11.272996229018917,2.6150465869782303e-4,5.230093173956461e-4,1983,TRUE,1.0104454224565758,-1.044542245657576,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,ln_MEP_z,ln_MEP_z,1983,0.1130698943127356,0.025487101659078595,1.3839051019180087e-4,11.971019158794128,6.265945021975483,17.98238023353882,Nominal positive,2.7678102038360174e-4,"11.971 (6.266, 17.982)",<0.001,<0.001,FDR-significant positive association,0.10681642137374453,11.272996229018917,2.6150465869782303e-4,5.230093173956461e-4,1983,TRUE,1.058544115769527,-5.8544115769527005,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,1983,0.11314327813423226,0.025108998465175555,1.458334975506362e-4,11.979236321576604,6.324000248420947,17.93526708801312,Nominal positive,2.916669951012724e-4,"11.979 (6.324, 17.935)",<0.001,<0.001,FDR-significant positive association,0.10681642137374453,11.272996229018917,2.6150465869782303e-4,5.230093173956461e-4,1983,TRUE,1.0592311245697927,-5.923112456979274,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,1983,0.11053005347897572,0.0246056605217541,1.8135512320957526e-4,11.686991437422867,6.130686134714214,17.534188373280113,Nominal positive,3.627102464191505e-4,"11.687 (6.131, 17.534)",<0.001,<0.001,FDR-significant positive association,0.10681642137374453,11.272996229018917,2.6150465869782303e-4,5.230093173956461e-4,1983,TRUE,1.0347664905589506,-3.4766490558950647,1,Robust after source adjustment
M0,Main model,Reference,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,,,1984,0.21080680298804125,0.04295672198666064,3.280972798865584e-5,23.467379672948606,13.08283777987722,34.80554735439001,Nominal positive,1.3123891195462335e-4,"23.467 (13.083, 34.806)",<0.001,<0.001,FDR-significant positive association,0.21080680298804125,23.467379672948606,3.280972798865584e-5,1.3123891195462335e-4,1984,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,1984,0.21602853121797674,0.04184418447958617,2.1885748966893436e-5,24.113778966833088,13.884726318781127,35.26159852471395,Nominal positive,8.754299586757375e-5,"24.114 (13.885, 35.262)",<0.001,<0.001,FDR-significant positive association,0.21080680298804125,23.467379672948606,3.280972798865584e-5,1.3123891195462335e-4,1984,TRUE,1.0247702073933151,-2.4770207393315147,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,ln_MEP_z,ln_MEP_z,1984,0.2104355482333831,0.04586607790975355,8.547582773755956e-5,23.42155032890716,12.353857494903009,35.5794934435786,Nominal positive,2.7678102038360174e-4,"23.422 (12.354, 35.579)",<0.001,<0.001,FDR-significant positive association,0.21080680298804125,23.467379672948606,3.280972798865584e-5,1.3123891195462335e-4,1984,TRUE,0.9982388862721892,0.1761113727810848,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,1984,0.21544217327577558,0.04471404605451492,5.9678994147242e-5,24.041025198758636,13.128241704964893,36.00649758603838,Nominal positive,2.38715976588968e-4,"24.041 (13.128, 36.006)",<0.001,<0.001,FDR-significant positive association,0.21080680298804125,23.467379672948606,3.280972798865584e-5,1.3123891195462335e-4,1984,TRUE,1.0219887129923284,-2.1988712992328407,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,1984,0.21650686743853134,0.04555768602234818,8.629738037335117e-5,24.17316128400715,13.00519595110703,36.44482320914912,Nominal positive,3.451895214934047e-4,"24.173 (13.005, 36.445)",<0.001,<0.001,FDR-significant positive association,0.21080680298804125,23.467379672948606,3.280972798865584e-5,1.3123891195462335e-4,1984,TRUE,1.0270392813215494,-2.7039281321549424,1,Robust after source adjustment
