analysis_type,outcome,outcome_label,source_var,source_label,source_domain,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt
source_to_DEHP_profile,ln_Sigma_DEHP,lnΣDEHP,fastfood_pct_kcal,"Fast-food/pizza energy, % total kcal",Fast food,4246,6.179071866279787e-4,6.803028875866548e-4,0.37176527608741583,6.179071866279787e-4,-7.779590385719765e-4,0.0020137734118279337,Positive direction,0.6691774969573485,"0.001 (-0.001, 0.002)",0.372,0.669
source_to_DEHP_profile,ln_Sigma_DEHP,lnΣDEHP,fastfood_meals_7d,Fast-food/pizza meals in past 7 days,Fast food,3306,-0.002402964577547549,0.005226575373541314,0.6493700628909425,-0.002402964577547549,-0.013127011425663962,0.008321082270568865,Negative direction,0.829431949340127,"-0.002 (-0.013, 0.008)",0.649,0.829
source_to_DEHP_profile,ln_Sigma_DEHP,lnΣDEHP,away_home_pct_kcal,"Away-from-home energy, % total kcal",Away from home,4246,0.0010388674091500998,5.468400371330936e-4,0.0681944187060285,0.0010388674091500998,-8.315566667279391e-5,0.0021608904849729936,Positive direction,0.15343744208856414,"0.001 (-0.000, 0.002)",0.068,0.153
source_to_DEHP_profile,ln_Sigma_DEHP,lnΣDEHP,processed_proxy_pct_kcal,"Processed/convenience proxy energy, % total kcal",Processed proxy,4246,3.767277349563979e-4,0.001141842238258846,0.743999248495524,3.767277349563979e-4,-0.0019661390145092545,0.0027195944844220507,Positive direction,0.829431949340127,"0.000 (-0.002, 0.003)",0.744,0.829
source_to_DEHP_profile,ln_Sigma_DEHP,lnΣDEHP,convenience_vending_pct_kcal,"Convenience/vending energy, % total kcal",Processed proxy,4246,3.4596044760411493e-4,0.00114847737524856,0.7655438148010498,3.4596044760411493e-4,-0.00201052047841806,0.00270244137362629,Positive direction,0.829431949340127,"0.000 (-0.002, 0.003)",0.766,0.829
source_to_DEHP_profile,ln_Sigma_DEHP,lnΣDEHP,frozen_lunchkit_pct_kcal,"Frozen meal/lunch-kit energy, % total kcal",Processed proxy,4246,0.0032331644269731927,0.014863168279858301,0.829431949340127,0.0032331644269731927,-0.027263537821221855,0.03372986667516824,Positive direction,0.829431949340127,"0.003 (-0.027, 0.034)",0.829,0.829
source_to_DEHP_profile,ln_Sigma_DEHP,lnΣDEHP,poor_diet_score,Poor diet-quality proxy score,Diet quality,4246,-0.0067577646170557835,0.0029802381776274536,0.031574133931262315,-0.0067577646170557835,-0.012872708256291384,-6.428209778201821e-4,Nominal negative,0.09472240179378694,"-0.007 (-0.013, -0.001)",0.032,0.095
source_to_DEHP_profile,ln_Sigma_DEHP,lnΣDEHP,diet_quality_proxy_score,Diet-quality proxy score,Diet quality,4246,0.0067577646170557835,0.0029802381776274536,0.031574133931262315,0.0067577646170557835,6.428209778201821e-4,0.012872708256291384,Nominal positive,0.09472240179378694,"0.007 (0.001, 0.013)",0.032,0.095
source_to_DEHP_profile,ln_Sigma_DEHP,lnΣDEHP,ln_MEP_personalcare_proxy,"ln(MEP), personal-care/fragrance proxy",Personal-care proxy,4246,0.05213902716310958,0.01039490110500169,3.223064643554821e-5,0.05213902716310958,0.03077200192999728,0.07350605239622188,Nominal positive,2.900758179199339e-4,"0.052 (0.031, 0.074)",<0.001,<0.001
source_to_DEHP_profile,ln_Sigma_DEHP,lnΣDEHP,ln_sum_parabens_proxy,"ln(sum parabens), personal-care proxy",Personal-care proxy,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA
