analysis_type,outcome,outcome_label,source_var,source_label,source_domain,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),fastfood_pct_kcal,"Fast-food/pizza energy, % total kcal",Fast food,2017,0.0029304019172204823,0.001063718359797828,0.009882455329613992,0.29346997420114374,0.0758286563744548,0.5115846105489874,Nominal positive,0.02223552449163148,"0.293 (0.076, 0.512)",0.010,0.022
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),fastfood_meals_7d,Fast-food/pizza meals in past 7 days,Fast food,1575,0.03102162466275093,0.00843218979337911,9.492823627801025e-4,3.1507809653853247,1.3871184532830316,4.945122971135807,Nominal positive,0.0028478470883403074,"3.151 (1.387, 4.945)",<0.001,0.003
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),away_home_pct_kcal,"Away-from-home energy, % total kcal",Away from home,2017,0.0015937966427659695,8.571362458165069e-4,0.07279683452881751,0.15950674116613772,-0.015669682513241856,0.3349900807323669,Positive direction,0.09359593010847966,"0.160 (-0.016, 0.335)",0.073,0.094
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),processed_proxy_pct_kcal,"Processed/convenience proxy energy, % total kcal",Processed proxy,2017,-0.003271022893057646,0.0017400653591058844,0.06987465837304603,-0.3265678926008264,-0.6801475000222768,0.028270461542811987,Negative direction,0.09359593010847966,"-0.327 (-0.680, 0.028)",0.070,0.094
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),convenience_vending_pct_kcal,"Convenience/vending energy, % total kcal",Processed proxy,2017,-0.003418105565273569,0.0017569952028083334,0.06114720038067031,-0.34122704926372593,-0.6981881096797538,0.017017182085710125,Negative direction,0.09359593010847966,"-0.341 (-0.698, 0.017)",0.061,0.094
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),frozen_lunchkit_pct_kcal,"Frozen meal/lunch-kit energy, % total kcal",Processed proxy,2017,0.005862578751263458,0.012454280105428005,0.6412397219196944,0.5879797297987599,-1.9382157532485955,3.179253200847154,Positive direction,0.6412397219196944,"0.588 (-1.938, 3.179)",0.641,0.641
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),poor_diet_score,Poor diet-quality proxy score,Diet quality,2017,0.07306705975460978,0.015117803465119112,3.73016105131506e-5,7.58026775593752,4.3095136493159325,10.953580412126751,Nominal positive,1.678572473091777e-4,"7.580 (4.310, 10.954)",<0.001,<0.001
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),diet_quality_proxy_score,Diet-quality proxy score,Diet quality,2017,-0.07306705975460978,0.015117803465119112,3.73016105131506e-5,-7.046150668758811,-9.872218968906365,-4.131467493755492,Nominal negative,1.678572473091777e-4,"-7.046 (-9.872, -4.131)",<0.001,<0.001
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),ln_MEP_personalcare_proxy,"ln(MEP), personal-care/fragrance proxy",Personal-care proxy,1984,0.020672039264986286,0.01696907463488845,0.23295958801612676,2.0887185817283216,-1.3935603024336607,5.693973878630398,Positive direction,0.2620795365181426,"2.089 (-1.394, 5.694)",0.233,0.262
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),ln_sum_parabens_proxy,"ln(sum parabens), personal-care proxy",Personal-care proxy,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),ln_BP3_proxy,"ln(BP3), sunscreen/consumer-product proxy",Personal-care proxy,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA
source_to_metabolic_marker,ln_HOMA_IR,ln(HOMA-IR),ln_triclosan_proxy,"ln(triclosan), antimicrobial-product proxy",Personal-care proxy,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA
source_to_metabolic_marker,HbA1c,HbA1c,fastfood_pct_kcal,"Fast-food/pizza energy, % total kcal",Fast food,4197,2.959326835272013e-4,5.230672371937369e-4,0.5760604952236218,2.959326835272013e-4,-7.755219807795565e-4,0.001367387347833959,Positive direction,0.8643625441644809,"0.000 (-0.001, 0.001)",0.576,0.864
source_to_metabolic_marker,HbA1c,HbA1c,fastfood_meals_7d,Fast-food/pizza meals in past 7 days,Fast food,3266,0.01122329145703497,0.008013783314628518,0.17234891562593918,0.01122329145703497,-0.005192199517449652,0.02763878243151959,Positive direction,0.7755701203167263,"0.011 (-0.005, 0.028)",0.172,0.776
source_to_metabolic_marker,HbA1c,HbA1c,away_home_pct_kcal,"Away-from-home energy, % total kcal",Away from home,4197,7.319672940333801e-4,3.9811332613573074e-4,0.07660522066798693,7.319672940333801e-4,-8.353088646691003e-5,0.0015474654745336702,Positive direction,0.6894469860118824,"0.001 (-0.000, 0.002)",0.077,0.689
source_to_metabolic_marker,HbA1c,HbA1c,processed_proxy_pct_kcal,"Processed/convenience proxy energy, % total kcal",Processed proxy,4197,-1.7544158190643282e-4,0.0010176378253607392,0.8643625441644809,-1.7544158190643282e-4,-0.002259978171136353,0.0019090950073234873,Negative direction,0.8643625441644809,"-0.000 (-0.002, 0.002)",0.864,0.864
source_to_metabolic_marker,HbA1c,HbA1c,convenience_vending_pct_kcal,"Convenience/vending energy, % total kcal",Processed proxy,4197,-2.1247344595703145e-4,0.0010197977727874736,0.8364649596952979,-2.1247344595703145e-4,-0.0023014344869217765,0.0018764875950077135,Negative direction,0.8643625441644809,"-0.000 (-0.002, 0.002)",0.836,0.864
