strata,strata_level,outcome,outcome_label,label,exposure,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt
Sex,Male,ln_HOMA_IR,ln(HOMA-IR),MEHHP,ln_URXMHH,972,0.09245150553689697,0.03798486402781123,0.021329139988774833,9.685994863622494,1.487325794254013,18.546994662300875,0.03569582004654748,"9.686 (1.487, 18.547)",0.021,0.036
Sex,Male,HbA1c,HbA1c,MEHHP,ln_URXMHH,1982,0.09860464530300714,0.02925700873733569,0.002204961659103308,0.09860464530300714,0.03867437965788284,0.15853491094813144,0.003307442488654962,"0.099 (0.039, 0.159)",0.002,0.003
Sex,Male,ln_HOMA_IR,ln(HOMA-IR),MEOHP,ln_URXMOH,972,0.08925584768087186,0.04076771352263476,0.03676526778005271,9.336035425576483,0.5893812108749286,18.84324665962356,0.03676526778005271,"9.336 (0.589, 18.843)",0.037,0.037
Sex,Male,HbA1c,HbA1c,MEOHP,ln_URXMOH,1982,0.10167680888915454,0.02986965787835168,0.0020214738493593764,0.10167680888915454,0.04049158836815836,0.1628620294101507,0.003307442488654962,"0.102 (0.040, 0.163)",0.002,0.003
Sex,Male,ln_HOMA_IR,ln(HOMA-IR),MECPP,ln_URXECP,972,0.091117996417534,0.03819336475952145,0.023797213364364984,9.53982507024216,1.3088711698543198,18.43951213612669,0.03569582004654748,"9.540 (1.309, 18.440)",0.024,0.036
Sex,Male,HbA1c,HbA1c,MECPP,ln_URXECP,1982,0.10065817590414548,0.03432386864021142,0.006632055242394565,0.10065817590414548,0.030348918247494583,0.17096743356079638,0.006632055242394565,"0.101 (0.030, 0.171)",0.007,0.007
Sex,Female,ln_HOMA_IR,ln(HOMA-IR),MEHHP,ln_URXMHH,1011,0.12363741678466614,0.0390602483866731,0.0036254076350020173,13.160549544699872,4.472139159425348,22.57153032654444,0.010876222905006052,"13.161 (4.472, 22.572)",0.004,0.011
Sex,Female,HbA1c,HbA1c,MEHHP,ln_URXMHH,2142,0.05760045797324159,0.023268520428967557,0.019872987644728418,0.05760045797324159,0.009857397683741026,0.10534351826274216,0.019872987644728418,"0.058 (0.010, 0.105)",0.020,0.020
Sex,Female,ln_HOMA_IR,ln(HOMA-IR),MEOHP,ln_URXMOH,1011,0.08469234071635008,0.04084369832979368,0.04710596928998122,8.838216430611755,0.11582684733355553,18.32052662223187,0.04710596928998122,"8.838 (0.116, 18.321)",0.047,0.047
Sex,Female,HbA1c,HbA1c,MEOHP,ln_URXMOH,2142,0.0702326251107254,0.02571748598072524,0.010989170570127556,0.0702326251107254,0.01746470256831944,0.12300054765313134,0.016483755855191334,"0.070 (0.017, 0.123)",0.011,0.016
Sex,Female,ln_HOMA_IR,ln(HOMA-IR),MECPP,ln_URXECP,1011,0.08501044020385869,0.04000038668737901,0.04220961288943594,8.872843318585355,0.3205590605943165,18.154206109574833,0.04710596928998122,"8.873 (0.321, 18.154)",0.042,0.047
Sex,Female,HbA1c,HbA1c,MECPP,ln_URXECP,2142,0.07298907598333085,0.024337293402028382,0.0057589254542135294,0.07298907598333085,0.02305307469251472,0.12292507727414698,0.016483755855191334,"0.073 (0.023, 0.123)",0.006,0.016
