dataset,period,mixture,outcome,outcome_label,q_variable,variable,beta_component,component,positive_weight,negative_weight,direction
NHANES 2003-2018,Overall_2003_2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHP,ln_URXMHP,-0.07988515790947628,MEHP,0,1,negative
NHANES 2003-2018,Overall_2003_2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHH,ln_URXMHH,0.07762306091633714,MEHHP,0.47154129681817825,0,positive
NHANES 2003-2018,Overall_2003_2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMOH,ln_URXMOH,0.05258716322484116,MEOHP,0.319454281373383,0,positive
NHANES 2003-2018,Overall_2003_2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXECP,ln_URXECP,0.034405391585619505,MECPP,0.2090044218084387,0,positive
NHANES 2003-2018,Overall_2003_2018,DEHP_all,HbA1c,HbA1c,q_ln_URXMHP,ln_URXMHP,-0.03463890080286146,MEHP,0,1,negative
NHANES 2003-2018,Overall_2003_2018,DEHP_all,HbA1c,HbA1c,q_ln_URXMHH,ln_URXMHH,0.055033140059178615,MEHHP,0.6780044597289353,0,positive
NHANES 2003-2018,Overall_2003_2018,DEHP_all,HbA1c,HbA1c,q_ln_URXMOH,ln_URXMOH,0.02218592827432216,MEOHP,0.2733290940157416,0,positive
NHANES 2003-2018,Overall_2003_2018,DEHP_all,HbA1c,HbA1c,q_ln_URXECP,ln_URXECP,0.003950220849612766,MECPP,0.04866644625532301,0,positive
NHANES 2003-2018,Overall_2003_2018,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHH,ln_URXMHH,0.05364276951644664,MEHHP,0.5016454045881945,0,positive
NHANES 2003-2018,Overall_2003_2018,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMOH,ln_URXMOH,0.029717295499720603,MEOHP,0.2779040839726533,0,positive
NHANES 2003-2018,Overall_2003_2018,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXECP,ln_URXECP,0.023573575810229844,MECPP,0.2204505114391522,0,positive
NHANES 2003-2018,Overall_2003_2018,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXMHH,ln_URXMHH,0.04208175828300159,MEHHP,0.75433481764818755,0,positive
NHANES 2003-2018,Overall_2003_2018,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXMOH,ln_URXMOH,0.012461931930542085,MEOHP,0.22338584540957246,0,positive
NHANES 2003-2018,Overall_2003_2018,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXECP,ln_URXECP,0.0012428879722560476,MECPP,0.022279336942239995,0,positive
