dataset,period,mixture,outcome,outcome_label,n,psi,psi_se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,direction,evidence_level
NHANES 2003-2018,2003-2008,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),1887,0.08786977859595481,0.028288753927527565,0.004421933753424969,9.184593106010098,3.0275301991172565,15.70961032148599,0.004421933753424969,"9.185 (3.028, 15.710)",0.004,0.004,positive,FDR-significant
NHANES 2003-2018,2003-2008,DEHP_all,HbA1c,HbA1c,3967,0.015721718842712267,0.01479698868855192,0.29742257558412083,0.015721718842712267,-0.014639194100472156,0.046082631785896694,0.29742257558412083,"0.016 (-0.015, 0.046)",0.297,0.297,positive,Positive direction only
NHANES 2003-2018,2003-2008,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1887,0.10325350607529399,0.027842384098746106,9.128303366811442e-4,10.877245400441238,4.7305806085855995,17.384659534503257,0.0018256606733622885,"10.877 (4.731, 17.385)",<0.001,0.002,positive,FDR-significant
NHANES 2003-2018,2003-2008,DEHP_oxidative,HbA1c,HbA1c,3967,0.02070257974784407,0.014685367473491511,0.16962734267611596,0.02070257974784407,-0.009379031864743526,0.05078419136043166,0.29742257558412083,"0.021 (-0.009, 0.051)",0.170,0.297,positive,Positive direction only
NHANES 2003-2018,2009-2012,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),1386,0.07191701828964106,0.0290459141013738,0.030792921125533272,7.456617102523366,0.8019376710216575,14.55062100892337,0.030792921125533272,"7.457 (0.802, 14.551)",0.031,0.031,positive,FDR-significant
NHANES 2003-2018,2009-2012,DEHP_all,HbA1c,HbA1c,2926,0.02340706879679573,0.022347999626747116,0.3173888281297545,0.02340706879679573,-0.025780546739408154,0.07259468433299962,0.3173888281297545,"0.023 (-0.026, 0.073)",0.317,0.317,positive,Positive direction only
NHANES 2003-2018,2009-2012,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1386,0.09245567533228113,0.02902773907088703,0.00784684892845833,9.686452232731146,2.96404514400046,16.847757744726156,0.01569369785691666,"9.686 (2.964, 16.848)",0.008,0.016,positive,FDR-significant
NHANES 2003-2018,2009-2012,DEHP_oxidative,HbA1c,HbA1c,2926,0.03319298014810867,0.022351575363434913,0.1633226221532249,0.03319298014810867,-0.015506919017017264,0.0818928793132346,0.3173888281297545,"0.033 (-0.016, 0.082)",0.163,0.317,positive,Positive direction only
NHANES 2003-2018,2013-2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),1983,0.07194088383773611,0.022662687311334292,0.003956084162921732,7.459181644188928,2.558810149552815,12.59369821861318,0.003956084162921732,"7.459 (2.559, 12.594)",0.004,0.004,positive,FDR-significant
NHANES 2003-2018,2013-2018,DEHP_all,HbA1c,HbA1c,4124,0.08043762529964574,0.023843063221046092,0.0026206269173473275,0.08043762529964574,0.031114491111726233,0.12976075948756524,0.0026206269173473275,"0.080 (0.031, 0.130)",0.003,0.003,positive,FDR-significant
NHANES 2003-2018,2013-2018,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,0.09085558547648756,0.022580859017654283,4.3962884416964723e-4,9.511084392762449,4.5442211719821435,14.713921730307744,8.792576883392945e-4,"9.511 (4.544, 14.714)",<0.001,<0.001,positive,FDR-significant
NHANES 2003-2018,2013-2018,DEHP_oxidative,HbA1c,HbA1c,4124,0.08425233623282836,0.022790462907223228,0.001129231812768705,0.08425233623282836,0.03721513261977348,0.13128953984588326,0.00225846362553741,"0.084 (0.037, 0.131)",0.001,0.002,positive,FDR-significant
