dataset,period,mixture,outcome,outcome_label,q_variable,variable,beta_component,component,positive_weight,negative_weight,direction
NHANES 2003-2018,2003-2008,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHP,ln_URXMHP,-0.08744430444521827,MEHP,0,0.6508859165181505,negative
NHANES 2003-2018,2003-2008,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHH,ln_URXMHH,0.10474866439834031,MEHHP,0.47138140307392656,0,positive
NHANES 2003-2018,2003-2008,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMOH,ln_URXMOH,0.11746770585993357,MEOHP,0.5286185969260734,0,positive
NHANES 2003-2018,2003-2008,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXECP,ln_URXECP,-0.04690228721710081,MECPP,0,0.3491140834818495,negative
NHANES 2003-2018,2003-2008,DEHP_all,HbA1c,HbA1c,q_ln_URXMHP,ln_URXMHP,-0.026992904495597287,MEHP,0,0.22020861742898507,negative
NHANES 2003-2018,2003-2008,DEHP_all,HbA1c,HbA1c,q_ln_URXMHH,ln_URXMHH,0.07257084621114793,MEHHP,0.5247330620709563,0,positive
NHANES 2003-2018,2003-2008,DEHP_all,HbA1c,HbA1c,q_ln_URXMOH,ln_URXMOH,0.06572965638103415,MEOHP,0.47526693792904373,0,positive
NHANES 2003-2018,2003-2008,DEHP_all,HbA1c,HbA1c,q_ln_URXECP,ln_URXECP,-0.09558587925387252,MECPP,0,0.779791382571015,negative
NHANES 2003-2018,2003-2008,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHH,ln_URXMHH,0.07076934214801975,MEHHP,0.4276357781708527,0,positive
NHANES 2003-2018,2003-2008,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMOH,ln_URXMOH,0.09472041750381505,MEOHP,0.5723642218291474,0,positive
NHANES 2003-2018,2003-2008,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXECP,ln_URXECP,-0.0622362535765408,MECPP,0,1,negative
NHANES 2003-2018,2003-2008,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXMHH,ln_URXMHH,0.06285512139269406,MEHHP,0.5259952789298228,0,positive
NHANES 2003-2018,2003-2008,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXMOH,ln_URXMOH,0.056642379650618656,MEOHP,0.4740047210701772,0,positive
NHANES 2003-2018,2003-2008,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXECP,ln_URXECP,-0.09879492129546864,MECPP,0,1,negative
NHANES 2003-2018,2009-2012,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHP,ln_URXMHP,-0.08702950360145562,MEHP,0,1,negative
NHANES 2003-2018,2009-2012,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHH,ln_URXMHH,0.10638032849313543,MEHHP,0.6692837768795133,0,positive
NHANES 2003-2018,2009-2012,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMOH,ln_URXMOH,0.04065984622116888,MEOHP,0.2558083419341963,0,positive
NHANES 2003-2018,2009-2012,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXECP,ln_URXECP,0.011906347176792358,MECPP,0.07490788118629028,0,positive
NHANES 2003-2018,2009-2012,DEHP_all,HbA1c,HbA1c,q_ln_URXMHP,ln_URXMHP,-0.04428645683066976,MEHP,0,0.7265744783662907,negative
NHANES 2003-2018,2009-2012,DEHP_all,HbA1c,HbA1c,q_ln_URXMHH,ln_URXMHH,0.08435946686374718,MEHHP,1,0,positive
NHANES 2003-2018,2009-2012,DEHP_all,HbA1c,HbA1c,q_ln_URXMOH,ln_URXMOH,-0.008246300298472602,MEOHP,0,0.1352908262840567,negative
NHANES 2003-2018,2009-2012,DEHP_all,HbA1c,HbA1c,q_ln_URXECP,ln_URXECP,-0.00841964093780909,MECPP,0,0.13813469534965256,negative
NHANES 2003-2018,2009-2012,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHH,ln_URXMHH,0.0776174985542017,MEHHP,0.820326013255015,0,positive
NHANES 2003-2018,2009-2012,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMOH,ln_URXMOH,0.017000369586074766,MEOHP,0.17967398674498491,0,positive
NHANES 2003-2018,2009-2012,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXECP,ln_URXECP,-0.002162192807995335,MECPP,0,1,negative
NHANES 2003-2018,2009-2012,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXMHH,ln_URXMHH,0.06744483658085551,MEHHP,1,0,positive
NHANES 2003-2018,2009-2012,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXMOH,ln_URXMOH,-0.0204270349919415,MEOHP,0,0.5963774556876871,negative
NHANES 2003-2018,2009-2012,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXECP,ln_URXECP,-0.01382482144080534,MECPP,0,0.4036225443123128,negative
NHANES 2003-2018,2013-2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHP,ln_URXMHP,-0.07950870194257897,MEHP,0,0.6529656143536076,negative
NHANES 2003-2018,2013-2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHH,ln_URXMHH,0.16793515954039628,MEHHP,0.8669571599742292,0,positive
