dataset,mixture,outcome,outcome_label,q_variable,variable,beta_component,component,positive_weight,negative_weight,direction
NHANES 2013-2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHP,ln_URXMHP,-0.07950870194257897,MEHP,0,0.6529656143536076,negative
NHANES 2013-2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHH,ln_URXMHH,0.16793515954039628,MEHHP,0.8669571599742292,0,positive
NHANES 2013-2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMOH,ln_URXMOH,-0.04225682474796091,MEOHP,0,0.3470343856463924,negative
NHANES 2013-2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXECP,ln_URXECP,0.025771250987879715,MECPP,0.13304284002577083,0,positive
NHANES 2013-2018,DEHP_all,HbA1c,HbA1c,q_ln_URXMHP,ln_URXMHP,-0.01785996280999764,MEHP,0,1,negative
NHANES 2013-2018,DEHP_all,HbA1c,HbA1c,q_ln_URXMHH,ln_URXMHH,0.05084254645931109,MEHHP,0.5172308643280256,0,positive
NHANES 2013-2018,DEHP_all,HbA1c,HbA1c,q_ln_URXMOH,ln_URXMOH,0.002297558711395163,MEOHP,0.023373500363329504,0,positive
NHANES 2013-2018,DEHP_all,HbA1c,HbA1c,q_ln_URXECP,ln_URXECP,0.045157482938937114,MECPP,0.4593956353086449,0,positive
NHANES 2013-2018,DEHP_all,TyG,TyG index,q_ln_URXMHP,ln_URXMHP,-0.11240458448742459,MEHP,0,0.4356080537600575,negative
NHANES 2013-2018,DEHP_all,TyG,TyG index,q_ln_URXMHH,ln_URXMHH,0.16508199416893748,MEHHP,0.8121416173324103,0,positive
NHANES 2013-2018,DEHP_all,TyG,TyG index,q_ln_URXMOH,ln_URXMOH,-0.14563606356115238,MEOHP,0,0.5643919462399426,negative
NHANES 2013-2018,DEHP_all,TyG,TyG index,q_ln_URXECP,ln_URXECP,0.03818550332881636,MECPP,0.1878583826675896,0,positive
NHANES 2013-2018,DEHP_all,ln_TG_HDL,ln(TG/HDL-C),q_ln_URXMHP,ln_URXMHP,-0.11248978960937708,MEHP,0,0.47655176899929347,negative
NHANES 2013-2018,DEHP_all,ln_TG_HDL,ln(TG/HDL-C),q_ln_URXMHH,ln_URXMHH,0.13790147519113424,MEHHP,0.8126185684059367,0,positive
NHANES 2013-2018,DEHP_all,ln_TG_HDL,ln(TG/HDL-C),q_ln_URXMOH,ln_URXMOH,-0.12355967432524081,MEOHP,0,0.5234482310007065,negative
NHANES 2013-2018,DEHP_all,ln_TG_HDL,ln(TG/HDL-C),q_ln_URXECP,ln_URXECP,0.03179865295342315,MECPP,0.18738143159406326,0,positive
NHANES 2013-2018,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMHH,ln_URXMHH,0.15108413612018273,MEHHP,0.8896812428577183,0,positive
NHANES 2013-2018,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXMOH,ln_URXMOH,-0.07896269194935761,MEOHP,0,1,negative
NHANES 2013-2018,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),q_ln_URXECP,ln_URXECP,0.01873414130566243,MECPP,0.11031875714228169,0,positive
NHANES 2013-2018,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXMHH,ln_URXMHH,0.044608600692617295,MEHHP,0.5048558096519494,0,positive
NHANES 2013-2018,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXMOH,ln_URXMOH,-0.004106755293464523,MEOHP,0,1,negative
NHANES 2013-2018,DEHP_oxidative,HbA1c,HbA1c,q_ln_URXECP,ln_URXECP,0.04375049083367559,MECPP,0.49514419034805063,0,positive
NHANES 2013-2018,DEHP_oxidative,TyG,TyG index,q_ln_URXMHH,ln_URXMHH,0.15038186200083692,MEHHP,0.8404924668194046,0,positive
NHANES 2013-2018,DEHP_oxidative,TyG,TyG index,q_ln_URXMOH,ln_URXMOH,-0.1774087011220963,MEOHP,0,1,negative
NHANES 2013-2018,DEHP_oxidative,TyG,TyG index,q_ln_URXECP,ln_URXECP,0.02853926809556078,MECPP,0.15950753318059538,0,positive
NHANES 2013-2018,DEHP_oxidative,ln_TG_HDL,ln(TG/HDL-C),q_ln_URXMHH,ln_URXMHH,0.12319020000284572,MEHHP,0.8476274876067812,0,positive
NHANES 2013-2018,DEHP_oxidative,ln_TG_HDL,ln(TG/HDL-C),q_ln_URXMOH,ln_URXMOH,-0.1553563962371078,MEOHP,0,1,negative
NHANES 2013-2018,DEHP_oxidative,ln_TG_HDL,ln(TG/HDL-C),q_ln_URXECP,ln_URXECP,0.0221451056638746,MECPP,0.15237251239321892,0,positive
